name,state,place_type,subtype,favorite,lon,lat
Haigler Canyon,AZ,camps,NF,FALSE,-110.964,34.218
Hannagan,AZ,camps,NF,FALSE,-109.329,33.636
Hawley Lake,AZ,camps,RES,FALSE,-109.758,33.991
Hazlett Hollow,AZ,camps,NF,FALSE,-112.285,34.17
Herb Martyr,AZ,camps,NF,FALSE,-109.234,31.873
Hilltop,AZ,camps,NF,FALSE,-112.381,34.511
Homolovi Ruins State Park,AZ,camps,SP,FALSE,-110.63,35.024
Honeymoon,AZ,camps,NF,FALSE,-109.481,33.475
Horse Springs,AZ,camps,NF,FALSE,-109.344,33.788
Horseshoe,AZ,camps,NF,FALSE,-111.717,33.977
Horseshoe Cienega,AZ,camps,RES,FALSE,-109.683,34.028
Hospital Flat,AZ,camps,NF,FALSE,-109.874,32.666
Hot Well Dunes,AZ,camps,BLM,FALSE,-109.396,32.55
Houston Mesa,AZ,camps,NF,FALSE,-111.32,34.271
Hualapai Mountain Park,AZ,camps,CP,FALSE,-113.879,35.097
Ice House CCC,AZ,camps,NF,FALSE,-110.803,33.324
Idlewilde,AZ,camps,NF,FALSE,-109.161,31.898
Imperial Dam Long Term,AZ,camps,BLM,FALSE,-114.489,32.904
Indian Creek,AZ,camps,NF,FALSE,-112.497,34.479
Indian Point,AZ,camps,NF,FALSE,-111.239,33.767
Jacob Lake,AZ,camps,NF,FALSE,-112.214,36.716
John Hands,AZ,camps,NF,FALSE,-109.222,31.878
Jones Water,AZ,camps,NF,FALSE,-110.643,33.591
Kaibab Lake,AZ,camps,NF,FALSE,-112.157,35.281
Kartchner Caverns State Park,AZ,camps,SP,FALSE,-110.347,31.817
Katherine Landing - Lake Mead National Rec Area,AZ,camps,NRA,FALSE,-114.564,35.222
Keams Canyon Community Park,AZ,camps,CP,FALSE,-110.204,35.813
Kehl Springs,AZ,camps,NF,FALSE,-111.317,34.436
Kentuck Springs,AZ,camps,NF,FALSE,-112.277,34.175
Kinnikinick,AZ,camps,NF,FALSE,-111.312,34.897
Knoll Lake,AZ,camps,NF,FALSE,-111.093,34.427
KP Cienega,AZ,camps,NF,FALSE,-109.355,33.576
La Paz County Park,AZ,camps,CP,FALSE,-114.193,34.227
Lake Havasu State Park,AZ,camps,SP,FALSE,-114.224,34.423
Lake Martinez Military,AZ,camps,MIL,FALSE,-114.476,32.986
Lake Pleasant,AZ,camps,CP,FALSE,-112.319,33.864
Lakeside,AZ,camps,NF,FALSE,-109.979,34.158
Lakeview,AZ,camps,NF,FALSE,-111.497,35.067
Lakeview,AZ,camps,NF,FALSE,-110.448,31.429
Lees Ferry - Glen Canyon Area,AZ,camps,NRA,FALSE,-111.604,36.86
Lockett Meadow,AZ,camps,NF,FALSE,-111.621,35.359
Los Burros,AZ,camps,NF,FALSE,-109.776,34.142
Lost Dutchman State Park,AZ,camps,SP,FALSE,-111.481,33.464
Lower Juan Miller,AZ,camps,NF,FALSE,-109.341,33.267
Lower Log,AZ,camps,RES,FALSE,-109.885,33.995
Lower Wolf Creek,AZ,camps,NF,FALSE,-112.46,34.455
Luna Lake,AZ,camps,NF,FALSE,-109.082,33.835
Lyman Lake State Park,AZ,camps,SP,FALSE,-109.376,34.359
Lynx Lake,AZ,camps,NF,FALSE,-112.388,34.517
Manzanita,AZ,camps,NF,FALSE,-111.745,34.936
Mather - Grand Canyon National Park,AZ,camps,NP,FALSE,-112.12,36.05
McCoy Bridge,AZ,camps,RES,FALSE,-109.73,34.045
