name,state,lon,lat,website
Camas Prairie Centennial Marsh Wildlife Management Area,ID,-115,43.5,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=542
Rio Grande and Home Lake State Wildlife Areas,CO,-106.08333,37.56667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=461
San Luis Lakes State Park and Wildlife Area,CO,-105.71667,37.66667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=460
Walden Reservoir,CO,-106.28333,40.71667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=471
Mesa Verde National Park,CO,-108.45,37.25,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=466
Canyons of the Ancients National Monument,CO,-108.71667,37.33333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=465
Highline State Park,CO,-108.83333,39.28333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=476
Bonny Lake State Park and South Republican Management Area,CO,-102.1921,39.6161,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=483
Marbled Murrelet IBA,OR,-124.067542,44.21046124,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3470
Manitou Lake (and Manitou Experimental Forest Flammulated Owl Study Area),CO,-105.08333,39.08333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=501
John Martin Reservoir State Wildlife Area,CO,-103,38.08333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=496
Adobe Creek Reservoir,CO,-103.25,38.25,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=497
Aiken Canyon Preserve,CO,-104.88333,38.61667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=499
Camas National Wildlife Refuge,ID,-112.25,43.93333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=541
Boise Ridge,ID,-116.05,43.6,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=538
Fort Boise Wildlife Management Area,ID,-117,43.83333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=555
