"lat","lon","open","sites","elev"
"46.42900","-112.48100"," ","12","6125"
"48.90200","-115.15900"," ","25","2510"
"48.61400","-109.95600","all year"," ","2585"
"48.59700","-115.88900"," ","7","2927"
"46.84200","-110.69700"," ","25","7451"
"48.93600","-114.34600"," "," ","4019"
"47.05500","-109.46000"," "," ","4121"
"47.10200","-114.42100"," ","7","3730"
"48.63400","-109.99200","all year"," ","2616"
"46.25100","-112.40500"," ","6","5830"
"47.32500","-113.58200","all year","41","4134"
"46.06900","-114.23600"," ","11","4308"
"48.03900","-115.49000"," ","4","3300"
"48.30100","-112.26000"," "," ","3822"
"47.29500","-113.56900"," ","5","4098"
"47.92700","-114.38300","all year","25","3793"
"48.52000","-111.85500"," "," ","3307"
"47.30700","-113.57600"," ","5","4100"
"48.21900","-113.80600"," ","5","3570"
"45.53300","-111.01500","mid may-mid sep","12","6148"
"45.63100","-104.17700"," ","6","3934"
"46.70600","-114.53600"," ","22","4311"
"45.82300","-111.85100","all year","40","4957"
"46.93900","-112.12200"," "," ","3728"
"48.28600","-113.90800","mid may-late sep","30","3596"
"45.05900","-109.40800","mid may-late aug","13","7185"
"47.40700","-113.72100"," ","22","4400"
"48.79300","-105.42000"," "," ","2462"
"45.55600","-113.09100"," ","5","6781"
"48.94400","-114.88900"," ","6","5551"
"45.45700","-110.62400"," "," ","4747"
"46.21300","-113.27500","mid jun-late sep","31","6427"
"45.64800","-113.07100"," ","10","7372"
"46.96100","-111.94200"," ","90","3678"
"48.03300","-115.06700","all year","40","3383"
"47.10100","-111.00900"," ","29","4610"
"46.77600","-114.38500"," ","17","3900"
"44.73600","-111.23100"," ","26","6562"
"48.59800","-115.67200"," ","4","3600"
"46.21000","-113.00400"," ","25","6230"
"48.30600","-113.96800"," ","5","3570"
"48.31000","-113.96300"," ","30","3599"
"46.13900","-112.50600"," ","11","6683"
"45.03800","-109.43000"," ","10","7418"
"45.83600","-104.43300"," ","5","3540"
"44.88000","-111.57500"," ","10","6132"
"45.73600","-114.75800"," ","15","3832"
"45.73600","-114.75800"," ","6"," "
"45.65300","-112.70300"," ","10","5204"
"47.09000","-104.71000","all year","22","2480"
"45.52100","-107.72600"," "," ","3009"
"45.48400","-110.62200"," ","8","4727"
"46.14400","-107.46500"," ","5","2700"
"48.79800","-113.67400"," "," ","4921"
"46.89800","-110.69100"," ","23","6083"
"47.88200","-115.74900"," ","17","2454"
"45.93200","-113.72200"," ","7","5295"
"46.45000","-110.27900"," ","11","4800"
"45.65100","-113.78300"," ","21","6398"
"48.48900","-115.30000"," ","50","2582"
"48.03300","-114.90300"," ","22","3904"
"47.58500","-106.17100"," "," ","2584"
"47.62700","-106.23100"," "," ","2275"
"45.44300","-111.70800"," ","9","4823"
"46.04500","-104.46900"," ","12","3376"
"46.70200","-113.49500"," "," ","3721"
"47.12500","-111.88500"," ","5","3425"
"45.47700","-112.06800"," ","10","7408"
"47.85900","-112.77600"," ","4","5864"
"45.32300","-113.57900"," ","18","7362"
"47.06000","-115.11500"," ","10","6056"
"45.92400","-111.49800","all year","25","4039"
"45.53500","-113.07900"," ","5","6939"
"47.89800","-108.63300"," "," ","3982"
"47.12300","-113.14500"," ","5","4170"
"47.03700","-113.22000"," ","5","3971"
"47.18200","-115.24900"," ","6","5453"
"46.52600","-112.25600"," ","9","4859"
"46.83600","-110.87500"," ","6","5840"
"45.35500","-111.17200","mid may-late sep","15","5774"
"48.62900","-114.39100"," ","7","5680"
"45.46400","-109.75500"," ","5","4739"
"46.25700","-112.36200"," ","16","5787"
"47.61000","-112.77000"," ","27","4993"
"47.16200","-111.82300"," "," ","3400"
"48.26800","-113.81300"," ","18","3615"
"45.79100","-113.60900"," ","10","6519"
"46.25500","-107.34100"," ","5","2651"
"47.55800","-106.22600"," "," ","2287"
"48.49300","-107.53200","all year"," ","2228"
"46.64300","-110.92400"," "," ","5326"
"47.47300","-112.52100"," ","6","4447"
"46.94400","-113.50400"," ","3","3644"
"48.36000","-111.32900","all year"," ","3015"
"47.57800","-114.01500"," "," ","3757"
"48.71900","-114.83300","mid may-late nov","25","3182"
"47.86100","-115.63100"," ","13","2369"
"46.58800","-113.66900"," ","13","4469"
"45.43700","-112.56500"," "," ","4864"
"46.25900","-112.60900"," ","10","6368"
"45.85400","-109.91400"," "," ","4003"
"45.68200","-114.30200"," ","25","4738"
"45.17200","-109.30800"," ","6","6414"
"45.42000","-110.63700"," "," ","4802"
"46.44300","-112.16900"," ","24","6398"
"45.06200","-109.40400","mid may-mid sep","26","7146"
"48.72500","-115.30800"," ","22","2464"
"45.75800","-109.77100"," "," ","3884"
"47.19700","-111.77300"," "," ","3373"
"48.83100","-115.76700"," ","12","2956"
"48.05800","-113.64400"," ","6","3609"
"46.99100","-114.44500"," "," ","2963"
"46.20600","-113.28800","mid jun-late sep","69","6421"
"45.80100","-112.40000"," ","6","6165"
"45.49800","-110.52500","early jun-mid sep","32","5656"
"45.27600","-109.64300"," ","46","5800"
"46.19600","-113.30600"," ","48","6549"
"47.69400","-112.47800"," ","8","4385"
"47.12000","-113.50300","early may-late nov","40","4170"
"45.99600","-108.00500"," "," ","2885"
"45.57300","-111.91100"," ","14","6683"
"46.74300","-105.43300"," "," ","2192"
"47.17100","-111.82700"," ","7","3396"
"45.47300","-113.08800"," ","28","7805"
"46.93000","-112.12300"," "," ","3800"
"48.72200","-114.22500"," "," ","3505"
"47.07500","-114.76500"," ","52","2897"
"46.28100","-112.93700"," ","12","5735"
"44.77800","-111.17700","mid may-late sep","55","6568"
"47.33700","-113.58900"," ","5","4134"
"45.09000","-109.32000","mid may-mid sep","7","6365"
"44.82700","-111.48700"," ","6","6130"
"45.17300","-111.24100","mid may-late sep","68","6325"
"48.75400","-114.56100"," ","6","5643"
"45.60500","-111.57000"," "," ","4481"
"45.56900","-106.14700"," ","14","3176"
"48.76100","-115.91900"," ","5","2959"
"45.12200","-113.45400"," ","22","7356"
"48.90100","-115.15900","early may-mid sep","53","2572"
"48.69600","-113.51900"," ","85","4567"
"46.98600","-113.13600"," ","6","4033"
"47.18600","-113.51300"," ","26","4000"
"48.60000","-109.93700"," "," ","2524"
"45.65400","-108.75600"," "," ","3268"
"48.87800","-115.05300"," "," ","2569"
"44.88400","-111.57700"," ","21","5902"
"47.76600","-106.29000"," "," ","2294"
"48.82400","-115.01100"," ","5","2907"
"48.65200","-115.31300"," ","60","2484"
"45.76500","-114.28000","mid may-late oct","15","4557"
"46.27400","-106.67800"," ","10","2510"
"45.44800","-109.50600"," ","10","4482"
"46.45000","-108.53700"," "," ","3226"
"46.73200","-115.07800"," "," ","3297"
"47.02300","-113.30800"," ","11","3856"
"45.21400","-108.55500"," ","11","5610"
"45.62500","-112.68800"," ","6","5164"
"47.09400","-113.39900","early may-late sep","20","3960"
"45.82600","-114.25000"," ","12","4524"
"48.30900","-111.08600","all year"," ","2851"
"48.31700","-111.08900"," ","34","3016"
"46.15100","-114.49500"," ","6","6604"
"47.19200","-113.51900"," ","29","5597"
"46.46500","-110.22600"," ","5","4648"
"47.57600","-104.23200"," "," ","1909"
"45.98800","-113.18400"," ","17","7021"
"47.85700","-104.04300"," "," ","1913"
"45.10200","-109.30700","mid may-late aug","8","6299"
"46.42300","-113.71900"," ","4","4500"
"46.35400","-111.09800"," ","12","5810"
"45.69800","-114.28200"," ","13","4500"
"47.23500","-115.02600"," ","16","2800"
"45.28900","-110.54900","early jun-late aug","14","5745"
"48.00600","-104.10300"," "," ","1870"
"45.02400","-109.91200"," ","27","7835"
"47.50100","-112.88800"," ","7","5269"
"46.33300","-104.47200"," ","10","2868"
"48.27000","-115.95400"," ","14","3340"
"46.12700","-113.38300"," ","13","6250"
"45.44000","-111.19300","early jun-late aug","22","5640"
"47.12100","-111.93500"," "," ","3437"
"47.92600","-113.52800"," ","13","3727"
"48.60700","-113.88400"," ","25","3165"
"46.58600","-110.46700"," ","10","5272"
"45.85900","-114.02200","mid may-late sep","11","4357"
"46.17100","-113.16500","mid jun-late sep","15","6552"
"46.34900","-113.60800"," ","10","5190"
"48.75100","-113.44600","all year","150","4531"
"45.60100","-113.34400"," ","7","6585"
"47.11600","-111.94600"," "," ","3440"
"48.60400","-114.65600"," ","6","3179"
"46.17400","-113.27400"," ","15","6398"
"48.31900","-113.35100"," ","17","5240"
"45.31000","-110.89400"," "," ","5425"
"45.37300","-111.15300","mid may-late sep","13","5850"
"47.93700","-113.84600","mid may-late sep","36","3176"
"45.58400","-109.33200"," ","5","3740"
"48.96800","-115.13600"," ","4","2500"
"47.91600","-115.27800"," ","5","3652"
"48.41300","-114.58500","mid may-late sep","51","3383"
"47.47600","-110.58500"," ","20","4554"
"47.83600","-106.63300"," ","30","2309"
"46.95100","-113.60600"," ","8","3513"
"48.04300","-115.09500"," ","91","3343"
"47.61600","-115.38900","early may-late sep","20","2382"
"48.49000","-115.52400","mid may-late aug","11","2680"
"48.89700","-115.14100"," ","6","2520"
"45.84700","-112.36600"," ","15","5896"
"45.12900","-111.06300"," ","16","7139"
"45.10200","-106.79900","all year","105","3458"
"46.12100","-111.40600"," "," ","4205"
"48.36300","-107.87300"," "," ","2244"
"47.11800","-114.86800"," ","12","2940"
"48.92300","-114.59900"," ","7","4633"
"45.41200","-113.68800"," ","21","7398"
"45.64500","-107.65900"," "," ","2940"
"48.48600","-113.36700"," ","100","5207"
"46.06800","-114.24900"," ","11","4373"
"44.59300","-111.73000"," "," ","6614"
"47.07400","-113.23000"," ","6","4142"
"45.36600","-111.70500"," "," ","4889"
"45.24700","-113.47100"," ","9","7019"
"45.22800","-111.75200"," ","8","5154"
"46.76700","-111.65100"," ","16","4426"
"48.39200","-115.56300"," "," ","2080"
"45.99800","-108.13200"," ","5","2917"
"44.80700","-111.56700"," ","27","6759"
"45.84300","-114.03900"," ","14","4511"
"46.19900","-113.16300"," ","6","6329"
"45.31600","-109.19200"," ","10","4781"
"48.05500","-114.07500","early may-late sep","30","2917"
"45.54800","-110.30700"," ","10","5551"
"47.99700","-106.49400"," "," ","2334"
"47.96100","-112.80700"," ","6","5623"
"47.81700","-115.14700"," ","4","4200"
"44.88700","-111.58000"," ","6","5942"
"45.30100","-111.75500"," ","28","5500"
"47.95000","-114.18800","all year","26","3077"
"46.76300","-111.88900"," ","32","3791"
"45.57500","-109.33700"," ","10","3770"
"48.42500","-114.37100","all year","25","3028"
"46.25900","-112.47900"," ","12","6112"
"48.82800","-115.81400"," ","12","2972"
"46.68200","-110.50300"," ","12","6345"
"48.42500","-111.87600"," "," ","3097"
"45.63700","-113.07700"," ","5","6736"
"47.54700","-112.44000"," ","6","4156"
"47.02000","-112.01100"," ","5","3486"
"47.42800","-112.79300"," ","16","5787"
"45.35200","-109.89700","mid may-mid sep","44","5207"
"48.64500","-115.88600"," ","7","2431"
"48.56100","-115.97500"," ","44","1900"
"47.87500","-114.02800"," ","5","2910"
"46.26700","-111.49200"," ","10","3845"
"42.88200","-122.51000","mid may-mid oct","25","2917"
"45.59600","-122.05300"," "," "," "
"44.06900","-124.10200","all year","43"," "
"45.08400","-122.06100"," ","6","1552"
"45.26600","-123.57900"," "," "," "
"44.17800","-121.91000"," ","6","3737"
"42.11300","-124.18900","all year"," ","4869"
"44.52800","-121.62800"," ","17","2812"
"44.47200","-121.63700"," ","10","2963"
"42.60500","-123.58200"," ","34"," "
"45.32000","-121.70500"," ","16","5381"
"44.32900","-123.49900"," "," "," "
"43.28100","-123.35700","mid apr-mid oct","30"," "
"45.85600","-123.19200"," ","19"," "
"45.10800","-119.62400"," "," ","3392"
"44.00100","-120.39200"," ","44","4948"
"44.96200","-118.22700"," ","61","7188"
"44.95800","-118.23300","early jul-mid sep","7","7218"
"43.30500","-122.67600"," ","10"," "
"42.20400","-122.39100"," ","9","4600"
"42.20400","-122.39100"," ","65"," "
"44.02100","-123.80600"," ","9"," "
"44.11100","-123.05100"," "," "," "
"45.16200","-122.15200","early may-mid sep","11"," "
"43.04500","-122.73200"," ","5","1601"
"42.38400","-122.21400","early jun-late aug","186","5046"
"45.30300","-121.55800"," ","4","4475"
"43.77100","-122.93900"," ","49"," "
"45.21700","-121.61300"," ","5","3041"
"44.47300","-119.93600"," ","6","5190"
"45.38200","-122.40600","early may-late oct","102"," "
"45.57400","-123.95100"," ","315"," "
"43.34100","-124.34800"," "," "," "
"44.59200","-118.51000"," ","28","4072"
"44.38200","-124.08900","all year"," "," "
"42.96900","-123.76500"," "," "," "
"44.93700","-120.12400"," ","18","3318"
"45.18500","-118.75100"," ","13","3940"
"42.30400","-122.36700","mid may-mid nov","4","4610"
"45.33700","-120.94900"," "," "," "
"43.97300","-122.54600"," ","23"," "
"43.11200","-124.07900"," ","85"," "
"44.56800","-123.31600"," ","30"," "
"44.72900","-124.05800","all year"," "," "
"44.78100","-119.61100"," ","4","1909"
"44.18300","-118.61600"," ","18","5085"
"45.93200","-123.16100"," "," "," "
"44.54400","-123.72200"," ","10"," "
"44.37800","-121.87000","early jun-mid oct","53","4698"
"42.45800","-123.67600","mid may-mid oct","12","2300"
"43.96600","-122.59800"," ","5","3665"
"43.81700","-121.49800","early may-late sep","11","4193"
"44.33200","-119.99300"," ","5","5026"
"43.22700","-117.49600"," ","5","2710"
"45.30000","-118.30600"," ","24","3133"
"43.80700","-122.56600","mid may-mid oct","82"," "
"44.37100","-123.83500","all year","36"," "
"45.15800","-116.87300"," ","16","4006"
"43.83700","-122.24400"," ","7","4760"
"44.42100","-121.73200","early jun-mid sep","27","3510"
"43.70900","-122.29800"," ","28","1998"
"43.45100","-124.26200","early may-late sep","19"," "
"45.84300","-119.70800"," "," "," "
"43.32500","-122.79900"," ","20"," "
"42.02300","-123.45700"," ","13","5568"
"45.25700","-121.39100"," ","10","2201"
"45.26500","-121.58400"," ","6","5266"
"43.05300","-122.77700"," ","8"," "
"43.30400","-122.52600"," ","15","1860"
"45.47200","-117.55800"," ","8","3796"
"43.39300","-121.64000"," ","6","4629"
"44.78100","-121.98900"," ","36","2247"
"44.76800","-121.78300"," ","20","5548"
"43.13300","-122.14100","early jun-late aug","202","5213"
"43.96200","-122.60900"," ","16"," "
"42.04400","-124.26700"," "," "," "
"43.78800","-119.70900"," ","8","5039"
"45.75500","-116.83600"," ","5","5253"
"43.72500","-121.62800"," ","12","4275"
"44.97400","-119.66300"," ","47","4058"
"43.15200","-124.39900","all year"," "," "
"44.02500","-117.40300"," ","40","2530"
"43.31900","-122.18700"," ","5","4219"
"42.72500","-124.27100"," ","7"," "
"43.49600","-121.05800"," ","8","4570"
"43.10600","-122.59300"," ","5","2119"
"45.30200","-121.86600","mid may-late aug","31","2264"
"46.12000","-123.93700"," "," "," "
"44.46400","-121.63900","all year","20","2976"
"44.80300","-121.78800"," ","14","4954"
"45.93200","-123.05300"," "," "," "
"42.56300","-120.75100"," ","27","7257"
"43.50100","-122.41200"," ","5","2014"
"42.38100","-120.16700"," ","6","6365"
"44.57500","-121.61900"," ","10","2736"
"43.34800","-122.73100"," ","8"," "
"42.22100","-123.06600"," "," ","1522"
"44.50100","-121.64100"," ","7","2890"
"44.24000","-118.77400"," ","9","5157"
"42.86400","-124.53100","all year"," "," "
"45.35300","-123.97200","all year"," "," "
"44.28100","-124.10000","mid may-mid sep","58"," "
"42.02400","-123.16600"," ","13","2021"
"45.16900","-122.15600"," ","15"," "
"43.85900","-124.14500","mid may-late sep","23"," "
"44.39800","-122.47300"," "," "," "
"43.97300","-122.66400","mid may-mid sep","47"," "
"45.13300","-117.62700"," ","9","3927"
"45.15300","-117.74000","all year","20","3212"
"42.11500","-123.43100"," ","20","2858"
"43.20000","-123.02200"," ","8"," "
"43.67100","-122.70600"," ","10","1624"
"45.65000","-120.96100"," ","20"," "
"45.24800","-122.89400","all year"," "," "
"42.94800","-123.29300"," ","40"," "
"43.34400","-124.32600"," ","100"," "
"43.54600","-119.61200","all year"," ","4298"
"42.85000","-123.16000"," ","30","1921"
"44.13700","-120.81600"," "," ","3041"
"43.65800","-121.03700"," ","11","5098"
"43.34700","-120.44900"," "," ","4308"
"43.80300","-118.15600"," "," ","3117"
"43.73800","-121.20100","early jun-late sep","106","6434"
"45.09600","-121.74800","mid may-late aug","46","3432"
"45.37100","-122.60400"," "," "," "
"46.10500","-123.20100"," ","12"," "
"43.90500","-123.56800"," "," "," "
"45.14600","-121.58000"," ","7","3114"
"45.18000","-121.69500","mid may-mid sep","62","3645"
"44.37500","-121.99900"," "," ","3023"
"43.24900","-122.23000"," ","17","4291"
"44.77800","-121.99800"," ","9","2238"
"45.40300","-121.65400"," ","28","5869"
"44.41600","-119.08700","all year"," ","3146"
"45.16700","-119.33200"," ","5","4843"
"44.31100","-121.62900"," ","23","3425"
"44.36600","-121.98800","mid may-mid oct","39","3202"
"42.64200","-121.88100","all year"," ","4222"
"43.46200","-122.00700"," ","15","4882"
"43.23300","-122.87200"," ","7"," "
"44.97300","-116.85700"," ","62","1722"
"42.45800","-120.78200"," ","6","6017"
"43.25200","-121.82100"," ","6","4882"
"44.38900","-119.85500"," ","6","5778"
"42.28600","-120.64100"," ","56","6152"
"44.36800","-119.87100"," ","5","5640"
"44.05800","-122.22000"," ","10","1716"
"44.71100","-122.16300"," ","93","1775"
"44.54600","-121.25700","all year"," ","2602"
"42.97600","-122.68700"," ","7","1818"
"45.10700","-116.92200"," ","8","4245"
"43.81700","-117.12300"," ","21","2312"
"43.81200","-121.77600"," ","20","4469"
"45.84200","-117.11300"," ","7","5062"
"43.79600","-121.76200","early may-late sep","147","4485"
"44.28200","-118.54500"," ","5","5187"
"43.49700","-121.84300"," ","10","4511"
"43.49900","-121.97600","all year","55","4993"
"44.29300","-120.84400"," ","81","2868"
"43.83500","-121.83300"," ","56","4734"
"45.18900","-119.32300"," "," ","4242"
"43.46600","-121.70100"," ","10","4459"
"42.46700","-120.64000"," ","5","5200"
"42.30700","-122.36500"," ","7","4596"
"42.73600","-124.05400"," ","22"," "
"42.55900","-120.77400"," ","27","7454"
"42.05800","-120.17300"," ","10","5912"
"44.32800","-120.07800"," ","14","4370"
"44.62200","-118.58000"," ","5","3950"
"43.89200","-119.63200"," ","44","5568"
"44.16300","-122.27600"," ","43"," "
"44.45800","-118.70600"," ","20","3530"
"45.31700","-123.94300"," ","70"," "
"45.63500","-120.90800","all year"," "," "
"44.72700","-122.17900","all year"," ","1601"
"44.03500","-121.76500"," ","6","5469"
"44.97100","-124.01200","all year"," "," "
"43.15700","-122.13400","mid may-late oct","282","5308"
"43.22900","-121.96500"," ","64","5699"
"42.06300","-120.15100"," ","7","5781"
"45.10300","-119.14200"," ","13","4764"
"44.53900","-118.59400"," ","14","5279"
"42.39300","-122.32500"," ","47","4908"
"43.79900","-119.76300"," ","5","5276"
"42.08500","-120.70600"," ","26","5230"
"43.96400","-122.61600"," ","5"," "
"44.02900","-120.32000"," ","5","5200"
"45.85300","-117.03100"," ","7","5161"
"43.19300","-123.36000"," "," "," "
"45.31600","-123.47700"," ","9"," "
"42.12000","-120.57900"," ","12","4859"
"45.07200","-118.87400"," ","8","4656"
"44.10300","-121.62600"," ","16","6585"
"45.01800","-118.85800"," ","6","3012"
"43.03600","-122.81000"," ","5"," "
"45.64300","-121.92400"," ","17"," "
"44.89100","-117.26100"," ","10","2963"
"43.29600","-122.55400"," ","31","3038"
"42.94300","-121.06500"," ","22","5013"
"43.58800","-121.85300"," ","39","4419"
"45.28900","-123.95000"," ","38"," "
"43.71800","-121.21300"," ","29","6401"
"43.31100","-122.17100"," ","18","4167"
"43.59000","-123.83500"," "," "," "
"42.80900","-123.89000"," ","11","2451"
"42.81500","-124.41100"," ","27"," "
"43.58100","-124.18500","mid may-late sep","52"," "
"45.40700","-121.45600"," ","25","3885"
"42.66100","-123.09800"," "," ","1952"
"44.40100","-118.32800"," ","12","4577"
"44.24600","-118.39700"," ","5","5069"
"43.97900","-121.80700"," ","22","4928"
"44.82300","-122.12700"," "," ","3776"
"44.07900","-120.32000"," ","5","4518"
"44.79900","-122.45500"," "," "," "
"43.86400","-119.41700"," ","6","4908"
"42.15300","-122.62700"," "," ","2142"
"45.54000","-118.46100","all year"," ","3855"
"44.95600","-119.70900"," ","5","4383"
"43.77200","-121.62000"," ","12","4262"
"43.85000","-119.41000"," ","6","4820"
"44.99200","-122.06200"," ","11"," "
"42.91600","-122.43500"," ","73","3488"
"44.30400","-117.22800","all year"," ","2129"
"44.40300","-122.30000"," ","14"," "
"45.13900","-122.53500"," ","20"," "
"45.16000","-122.15100","early may-mid sep","25"," "
"42.39400","-122.31300"," ","66","4741"
"45.05000","-117.09600"," ","19","6690"
"42.73800","-118.64400"," "," ","7392"
"44.75600","-122.51200","early may-late oct"," "," "
"42.11700","-123.08800"," "," ","1696"
"45.17900","-121.52400"," ","8","3153"
"45.74200","-119.19800"," ","7"," "
"46.17900","-123.96700","all year"," "," "
"42.63500","-124.05100"," ","41"," "
"42.50100","-122.40300"," ","7","3258"
"42.45500","-122.24500"," ","36","5994"
"44.22100","-119.57700"," ","10","4619"
"45.16000","-118.63900"," ","29","4337"
"44.04200","-122.20700"," ","21","1883"
"43.95900","-122.08200"," ","12","2674"
"45.21400","-118.59700"," ","6","4777"
"45.22400","-121.69300","mid may-mid sep","45","3970"
"43.16100","-123.98000"," "," "," "
"45.64400","-123.35700"," ","21"," "
"42.20400","-121.12900"," "," ","4836"
"45.69300","-120.75600"," "," "," "
"44.53800","-122.89200"," ","20"," "
"45.00200","-118.81600"," ","9","3163"
"43.63100","-122.05000"," ","26","5249"
"45.11200","-121.77400","mid may-mid sep","62","3330"
"45.11300","-121.77800"," "," "," "
"41.99400","-120.32200","early may-late sep","48","4731"
"44.48600","-121.63900"," ","18","2949"
"44.97600","-118.24200"," ","8","7211"
"44.42100","-118.95200"," "," ","3064"
"42.55300","-123.91900"," ","5","4534"
"42.14300","-123.46100"," ","45","1916"
"45.28300","-121.94100"," ","23","1690"
"42.46200","-123.48700"," ","20"," "
"42.25500","-122.42500","mid apr-mid sep","21","4547"
"43.70600","-121.76100","early may-late sep","85","4367"
"42.38400","-121.81400"," ","10","4157"
"43.66400","-124.20200"," ","45"," "
"43.18000","-123.99700"," "," "," "
"43.05600","-122.32800"," ","10","4085"
"43.81500","-122.59600"," ","4"," "
"42.47600","-120.68200"," ","9","5295"
"44.04700","-124.13100"," ","38"," "
"42.03400","-123.11100"," ","5","2051"
"42.06700","-124.30700","all year"," "," "
"42.05200","-123.12900"," ","16","2000"
"44.49200","-121.13900"," ","54","2900"
"44.75500","-118.69200"," ","7","7162"
"42.73200","-121.41900"," ","5","4633"
"45.23100","-123.79700"," ","23"," "
"43.19000","-122.70400"," ","34","4560"
"43.18800","-122.69500"," ","12","4564"
"45.11300","-116.97700"," ","10","4432"
"45.12500","-121.96500"," ","9","4091"
"45.15700","-121.89400"," ","7","4603"
"45.34200","-118.22800"," ","18","2986"
"43.64700","-122.66900"," ","7","1873"
"42.27300","-120.84200"," ","10","5436"
"43.96800","-122.15700"," ","7","2369"
"43.92800","-124.10600","all year"," "," "
"45.10800","-121.79100","mid may-mid sep","56","3287"
"44.71200","-122.12100"," ","86","1637"
"43.28800","-122.62700"," ","47"," "
"44.78100","-121.78500"," ","6","5371"
"43.45300","-124.27500","all year","35"," "
"43.71800","-121.20100"," ","80","6421"
"44.39200","-122.24400"," ","24","1778"
"45.56300","-117.91000"," ","44","2651"
"42.87600","-122.33700"," ","25","5545"
"46.09000","-122.99300"," "," "," "
"44.24000","-123.49500"," "," "," "
"44.77200","-122.07800"," ","22","1670"
"42.68700","-124.43600","all year","95"," "
"45.25400","-121.21100"," "," "," "
"42.48000","-124.32700"," ","70"," "
"45.33200","-117.29800"," ","14","4652"
"42.16700","-122.46400"," "," ","5125"
"44.34400","-122.00000"," ","14","2848"
"43.80100","-118.99000","early may-late oct","40","5299"
"42.62600","-124.05700"," ","12"," "
"42.70400","-122.33200"," ","5","3862"
"45.11300","-117.01300"," ","10","4534"
"44.35800","-121.61000"," ","25","3281"
"45.10900","-122.07500","mid may-late sep","88"," "
"42.55200","-123.53900"," ","90"," "
"43.31200","-122.15200"," ","14","4199"
"43.80900","-121.96000"," ","6","5550"
"45.29800","-117.39500"," ","6","5266"
"43.34000","-122.72200"," ","7"," "
"42.72200","-124.04000"," ","5"," "
"43.74900","-122.00900"," ","55","5446"
"44.48500","-121.70100"," ","19","3143"
"42.71800","-118.62400","mid jul-mid nov","6","7656"
"42.11400","-123.08700"," ","4","1686"
"42.98500","-121.45300"," ","12","4803"
"42.73600","-121.97700"," ","10","4227"
"44.13500","-120.69600","all year","30","3275"
"44.62000","-121.13500"," "," ","2320"
"43.82700","-118.97400"," ","12","5209"
"45.10000","-121.74700","mid may-mid sep","13","3347"
"44.78200","-122.60900"," "," "," "
"45.58900","-123.55700"," "," "," "
"42.60800","-120.60000"," ","8","4839"
"42.68400","-122.61500","all year"," ","2001"
"42.24200","-123.68600"," ","6","2546"
"45.82800","-117.96400"," ","115","4744"
"45.15400","-121.51900"," ","5","2615"
"43.88600","-122.25500"," ","19","2267"
"45.53900","-123.78500","mid may-mid sep","62"," "
"44.97800","-122.09000","mid may-late aug","23","1854"
"42.16400","-121.74900"," "," ","4088"
"45.45900","-121.66100"," ","15","2963"
"42.21100","-122.37600","mid apr-mid sep","30","4548"
"42.21100","-122.37600","mid apr-mid oct","300","4548"
"45.43600","-121.47900"," ","8","3822"
"45.73900","-123.19900","all year","100"," "
"43.88000","-124.14200","early may-late sep","41"," "
"42.70100","-124.20400"," ","4","1808"
"45.01000","-116.91300"," ","10","3333"
"45.07400","-121.95800","early may-mid sep","16","2103"
"43.21700","-122.72100"," ","17","3146"
"43.62000","-117.23700","all year"," ","2772"
"42.26800","-123.58100"," "," ","1703"
"44.33200","-122.04600"," ","14","2943"
"45.19000","-118.76500"," ","8","3891"
"43.76400","-121.52700","all year","129","4222"
"44.26000","-121.78500"," ","12","5331"
"43.61700","-121.82200"," "," ","4455"
"43.91300","-121.76600"," ","44","4767"
"43.25900","-124.02900"," "," "," "
"45.19100","-122.20600","early may-late sep","21"," "
"42.59000","-120.83900"," ","11","6273"
"45.72700","-120.65100","early apr-late nov"," "," "
"43.32200","-117.32200"," "," ","2681"
"45.15800","-117.03300"," ","10","5459"
"42.27100","-122.43200","mid apr-mid oct","12","4557"
"44.17400","-122.05200"," ","10","1814"
"44.41600","-121.75500","all year","36","3488"
"45.28200","-121.34600"," ","6","2073"
"44.19300","-118.41300"," ","5","5545"
"43.71400","-121.24300"," ","50","6368"
"45.14900","-121.74300","mid may-mid sep","22","3366"
"43.80000","-121.87200"," ","10","4797"
"43.96300","-121.79700"," ","20","4921"
"43.91000","-121.76200","early jun-late sep","16","4754"
"42.15300","-124.14500"," ","12"," "
"42.50200","-124.29600","all year","69"," "
"45.16500","-122.15300","early may-mid sep","30"," "
"42.26300","-120.81500"," ","30","6220"
"44.77700","-119.62300"," ","4","1871"
"44.20500","-122.25900"," ","34","1827"
"43.59800","-123.84800","early jun-late nov"," "," "
"45.38200","-121.83600"," ","22","2441"
"42.87900","-122.03800","mid may-late aug","16","5969"
"45.49400","-121.81500"," ","300","3327"
"44.43000","-121.91300"," ","14","4019"
"44.40400","-122.07400"," ","14","3389"
"44.55700","-121.62000"," ","15","2785"
"43.06900","-121.25700"," ","5","5089"
"44.67300","-118.79900"," ","6","3661"
"44.13500","-120.81300"," "," ","3056"
"44.82300","-121.79600"," ","8","4862"
"42.64500","-122.33400"," ","7","4091"
"42.03600","-124.10800"," ","15"," "
"43.65100","-122.67800"," ","9","1965"
"45.38700","-120.87100"," "," "," "
"44.63500","-121.12700"," "," "," "
"44.55000","-118.91300","mid may-late oct","66","5052"
"44.13000","-120.72300","all year","22","3973"
"43.96300","-121.78300"," ","15","4993"
"42.53000","-122.08600"," ","5","4100"
