"lat","lon","open","sites","elev"
"33.99500","-109.88500"," ","100","6161"
"34.45500","-112.46000","mid may-mid oct","20","6033"
"33.83500","-109.08200","mid may-mid nov","50","7986"
"34.35900","-109.37600","all year","61","6004"
"34.51700","-112.38800","mid apr-mid oct","36","5640"
"34.93600","-111.74500","all year","18","4823"
"36.05000","-112.12000","all year","317","7001"
"34.04500","-109.73000"," ","10","7772"
"33.68400","-111.72200"," ","76","1880"
"34.96800","-110.64500","all year","11","4888"
"33.72700","-114.65900"," "," "," "
"33.72700","-114.65900"," "," "," "
"33.70100","-111.19400"," ","10","2182"
"34.69300","-112.12000","mid may-mid oct","25","7657"
"36.98100","-110.11300"," ","100","5607"
"32.81700","-114.47200"," "," "," "
"34.32100","-110.95700","mid may-mid oct","26","7671"
"32.33700","-110.69200","early nov-late jun","37","4347"
"36.68200","-110.54300","all year","30","7297"
"34.71400","-114.43500"," "," "," "
"36.21100","-112.06100","mid may-late nov","82","8333"
"33.30800","-111.05100"," ","16","3937"
"33.76200","-111.25300"," ","20","2126"
"32.96700","-109.30900"," ","7","3402"
"33.39600","-114.72300"," "," "," "
"33.77300","-109.53500"," ","10","8271"
"35.45200","-114.17000"," ","7","6119"
"33.02300","-113.04800","all year","30"," "
"31.49000","-110.85400","all year","72","3911"
"32.53800","-110.71600","all year","17","4649"
"33.54600","-111.66000"," ","15"," "
"32.64600","-111.39800","all year","85","1860"
"33.28700","-110.83000","mid may-mid nov","14","7549"
"35.01300","-111.73800","early apr-late oct","56","5630"
"35.22400","-111.81200"," "," ","7090"
"35.02800","-111.46200","early may-late sep","46","6962"
"31.93300","-109.27100"," ","4","7000"
"33.28000","-110.79700","mid may-mid nov","20","5866"
"34.29900","-111.11300","early apr-late oct","61","5709"
"34.71100","-112.15400","mid may-mid oct","24","6978"
"34.57800","-112.06900"," ","10","5315"
"33.66000","-114.20000"," ","500"," "
"33.66300","-114.21700"," ","1000"," "
"33.79900","-109.32900"," ","10","7753"
"33.87600","-109.40400","mid may-mid nov","161","9144"
"31.42800","-110.30400","mid apr-mid oct","8","7421"
"31.42900","-110.29000","mid apr-mid oct","14","7182"
"33.47600","-111.62000"," ","73"," "
"33.84400","-109.50000"," ","60","9160"
"32.70800","-109.96300","mid apr-mid nov","31","8776"
"34.30600","-110.90800","mid may-mid sep","26","7575"
"34.25400","-114.14100","all year","37"," "
"33.81000","-111.64700"," ","12","1604"
"32.88300","-109.48100"," ","13","3136"
"34.56300","-111.21900","mid may-mid sep","36","7352"
"34.03400","-109.45400","mid may-mid sep","91","8337"
"32.75900","-109.71000","all year","65","3123"
"32.39300","-110.70400","mid apr-mid oct","74","7067"
"33.83000","-110.97900","mid may-mid oct","5","5495"
"31.78400","-109.30300"," ","14","6175"
"31.78000","-109.31000"," ","8","6142"
"31.78000","-109.31000"," ","5","5500"
"31.90500","-109.27900","mid apr-mid nov","25","8488"
"0.00000","-110.98800","mid may-mid oct","5","5902"
"33.64800","-111.01300"," ","211","2182"
"34.17600","-109.96000"," ","15","6716"
"34.35600","-111.28300"," ","10","5108"
"33.96600","-111.86300"," ","23","3363"
"32.65700","-109.85800","mid apr-mid nov","11","9085"
"34.30700","-110.99600","early apr-late oct","28","6040"
"34.19500","-110.00700"," ","71","6585"
"34.06300","-109.73300"," ","20","7864"
"34.05600","-109.72400"," ","6","7976"
"34.30600","-110.88600","mid may-mid oct","26","7579"
"32.69900","-109.92000","mid apr-mid nov","12","9373"
"32.41700","-110.74000","mid apr-mid oct","60","7897"
"34.33200","-110.93600","mid may-mid nov","26","7575"
"32.90200","-114.47400"," ","125"," "
"31.89100","-109.16700","mid apr-mid nov","6","5062"
"32.59200","-109.84900","early apr-late sep","7","5689"
"33.55000","-109.31800","mid apr-mid nov","7","7776"
"33.29300","-110.86800"," ","10","6000"
"35.67900","-109.20100"," ","13","7726"
"31.88500","-109.17500"," ","14","5118"
"33.99200","-109.54800"," ","200","9360"
"34.17100","-113.84300"," "," "," "
"36.03200","-114.32500"," ","150"," "
"35.93800","-112.12300","early may-late sep","70","6670"
"34.36500","-111.28100"," ","10","5161"
"33.68800","-110.57100"," ","24","5705"
"34.32900","-111.09300"," "," ","5423"
"33.52900","-111.39600","early oct-late dec","76","1719"
"36.05300","-112.11300"," ","84","7047"
"31.94200","-112.81100"," ","208","1696"
"33.63300","-111.20300"," ","30","1946"
"34.28800","-110.80600","mid may-mid oct","10","6524"
"33.26900","-109.34700"," ","4","5823"
"34.33900","-111.09400","mid apr-mid oct","9","5577"
"33.47600","-111.61900"," ","73","1978"
"34.24400","-110.79700","mid may-mid oct","10","6680"
"36.95100","-113.79400"," ","75","2264"
"33.88100","-112.82100"," "," ","2534"
"36.99600","-111.49600"," ","200","3750"
"34.35200","-111.28600"," ","20","5003"
"34.59200","-112.42200"," "," ","5207"
