name,state,lon,lat,website
Mackay Island,NC,-76.94,36.525,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2982
Onslow Bay,NC,-77.783,34.208,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2985
Palmetto Peartree-Buckridge,NC,-76.083,35.883,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2988
Max Patch,NC,-82.95,35.75,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2997
Lower Rappahannock River,VA,-76.99917,38.06861,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3041
Mattaponi and Pamunkey Rivers,VA,-76.94972,37.61139,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3043
New River Gorge - Garden Ground Mt. IBA,WV,-81.08361,37.89806,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3445
Beech Fork State Park,WV,-82.34833,38.31,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3446
Kanawha State Forest,WV,-81.64167,38.28139,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3448
Coopers Rock State Forest IBA,WV,-79.81611,39.63639,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3460
Wilson Creek - Linville Gorge,NC,-81.82,35.98,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3723
Yellow Creek Mountains,NC,-83.71,35.38,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3724
Northern Escarpment,NC,-81.43,36.18,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3725
Central Piedmont,VA,-78.58528,37.60611,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3810
