lon,lat,name,type,open,sites,elev,amenities,state
-114.563,35.183,Davis Camp - Mohave County,CP, , , ,WES DP DW SH ,AZ
-111.222,33.594,Davis Wash,NF, ,30,2008,NR ,AZ
-112.135,36.412,De Motte,NF, ,25,8835,NH ND 22ft VT DW NS NR ,AZ
-112.019,34.754,Dead Horse Ranch State Park,SP,all year,127,3337,E DP 65ft FT DW SH RS L$ ,AZ
-109.320,33.804,Deer Creek,NF,mid may-mid sep,6,7812,NH ND VT DW NS NR L$ ,AZ
-112.827,32.436,Dennison Campground - Ajo Regional Park,CP, , , ,NH ND NS N$ ,AZ
-114.445,32.863,Desert Breeze Military - Yuma PG,MIL, , , ,E DP FT DW SH RS ,AZ
-111.823,36.039,Desert View - Grand Canyon National Park,NP, ,75,7470,NH ND 30ft FT DW NS NR ,AZ
-109.300,33.819,Diamond Rock,NF,mid may-mid sep,12,7969,NH ND 10ft VT DW NS NR L$ ,AZ
-112.126,35.213,Dogtown Lake,NF,mid may-mid sep,54,7087,NH DP 35ft PT DW NS NR N$ ,AZ
-111.493,34.943,Double Springs,NF,mid may-mid oct,15,7192,NH ND 35ft VT DW NS NR ,AZ
-109.539,33.821,Drift Fence Lake,RES, ,20,8990,NH ND VT DW NS ,AZ
-112.376,33.385,Estrella Mountain Regional Park,CP, ,7, ,WES ND 45ft FT DW NS RS ,AZ
-110.938,33.824,Falls,NF,mid may-mid oct,5,6900,NH ND 16ft VT NW NS NR N$ ,AZ
-111.290,34.343,First Crossing,NF, ,7,4852,NH ND NS NR ,AZ
-111.352,34.303,Flowing Springs,NF,all year,40,4583,NH ND NS NR N$ ,AZ
-110.073,34.266,Fool Hollow State Rec Area,SRA,all year,123,6306,WE DP 45ft DW SH RS ,AZ
-111.398,35.023,Forked Pine,NF, ,25,7123,NH ND 16ft VT DW NS NR ,AZ
-111.693,35.142,Fort Tuthill County Park,CP, , ,6995,WES ND NS ,AZ
-111.693,35.139,Fort Tuthill Military - Luke AFB,MIL, , ,7001,E ND FT DW NS RS L$ ,AZ
-114.453,32.724,Fortuna Pond,BLM, , , ,NH ND NT NW NS NR N$ ,AZ
-110.342,32.833,Fourmile Canyon,BLM, ,10,3488,30ft FT DW NR ,AZ
-109.487,33.929,Gabaldon,NF, , ,9462,NH ND 16ft VT NW NS NR ,AZ
-110.329,31.529,Garden Canyon  Military - Fort Huachuca,MIL, , ,4881,E FT DW RS ,AZ
-110.685,32.378,General Hitchcock,NF, ,11,6007,NH ND VT NW NS NR ,AZ
-110.712,34.302,Gentry,NF, ,6,7733,NH ND VT NW NS NR L$ ,AZ
-112.730,32.882,Gila Bend Military,MIL, , , ,E DP FT DW NS RS ,AZ
-110.787,33.394,Gila County RV Park,CP, ,15,3506,WES DP NS ,AZ
-111.143,32.219,Gilbert Ray,CP, ,130,2612,E DP 45ft FT DW NS ,AZ
-109.382,33.187,Granville,NF,mid apr-mid nov,12,6752,NH ND 16ft VT DW NS NR N$ ,AZ
-111.045,33.641,Grapevine Bay,NF, ,40,2297,NH ND DW SH NR ,AZ
