name,state,place_type,subtype,favorite,lon,lat
Bark Camp,VA,camps,NF,false,-82.528,36.868
Bear Creek Lake State Park,VA,camps,SP,false,-78.274,37.533
Beartree,VA,camps,NF,false,-81.682,36.667
Belle Isle State Park,VA,camps,SP,false,-76.581,37.776
Bethel Military,VA,camps,MIL,false,-76.431,37.092
Big Meadows - Shenandoah National Park,VA,camps,NP,false,-78.439,38.527
Blowing Springs,VA,camps,NF,false,-79.884,38.069
Bolar Mountain,VA,camps,NF,false,-79.974,37.985
Breaks InterState Park,VA,camps,SP,false,-82.295,37.290
Buffalo Landing - Kerr Reservoir,VA,camps,COE,false,-78.631,36.662
Bull Run Regional Park,VA,camps,CP,false,-77.476,38.801
Burke Lake Park,VA,camps,CP,false,-77.302,38.760
Camp Roosevelt,VA,camps,NF,false,-78.518,38.731
Cane Patch,VA,camps,NF,false,-82.679,37.102
Cape Henry RV Military,VA,camps,MIL,false,-76.007,36.927
Cave Mountain Lake,VA,camps,NF,false,-79.534,37.574
Cave Springs,VA,camps,NF,false,-82.922,36.802
Champs RV Military - A P Hill,VA,camps,MIL,false,-77.334,38.091
Chickahominy Riverfront Park,VA,camps,CP,false,-76.873,37.265
Chippokes Plantation State Park,VA,camps,SP,false,-76.748,37.140
Claytor Lake State Park,VA,camps,SP,false,-80.624,37.062
Comers Rock,VA,camps,NF,false,-81.225,36.763
Cranesnest  - John W. Flannagan Reservoir,VA,camps,COE,false,-82.407,37.157
Douthat State Park,VA,camps,SP,false,-79.802,37.897
Elizabeth Furnace,VA,camps,NF,false,-78.331,38.925
Fairy Stone State Park,VA,camps,SP,false,-80.108,36.798
First Landing State Park,VA,camps,SP,false,-76.052,36.918
Fort Belvoir Travel and RV Camp,VA,camps,MIL,false,-77.145,38.697
Fort Eustis Military,VA,camps,MIL,false,-76.595,37.161
Gatewood Park,VA,camps,CP,false,-80.873,37.044
Gentrys Landing,VA,camps,CP,false,-80.821,37.374
Glen Maury Park,VA,camps,CP,false,-79.368,37.731
Goose Dam,VA,camps,CP,false,-79.883,36.897
Goose Point - Philpott Lake,VA,camps,COE,false,-80.059,36.804
Gosnolds Hope Park,VA,camps,CP,false,-76.334,37.073
Grapevine - Fishtrap Lake,VA,camps,COE,false,-82.357,37.432
Grayson Highlands State Park,VA,camps,SP,false,-81.485,36.639
Grindstone,VA,camps,NF,false,-81.542,36.688
Hidden Valley,VA,camps,NF,false,-79.822,38.099
High Knob,VA,camps,NF,false,-82.622,36.890
Holliday Lake State Park,VA,camps,SP,false,-78.639,37.396
Hone Quarry,VA,camps,NF,false,-79.135,38.460
Horseshoe Point - Philpott Lake,VA,camps,COE,false,-80.076,36.834
Hungry Mother State Park,VA,camps,SP,false,-81.525,36.871
Hurricane,VA,camps,NF,false,-81.491,36.723
Ivy Hill Rec Area - Kerr Reservoir,VA,camps,COE,false,-78.434,36.574
James River State Park,VA,camps,SP,false,-78.798,37.624
Jamison Mill Park - Philpott Lake,VA,camps,COE,false,-80.065,36.851
Kings Creek - Cheatham Annex Military,VA,camps,MIL,false,-76.594,37.282
Kiptopeke State Park,VA,camps,SP,false,-75.975,37.174
Lake Anna State Park,VA,camps,SP,false,-77.824,38.115
Lake Fairfax,VA,camps,CP,false,-77.321,38.963
Lake Robertson,VA,camps,CP,false,-79.610,37.798
Lewis Mountain - Shenandoah National Park,VA,camps,NP,false,-78.477,38.436
Little Creek RV Military,VA,camps,MIL,false,-76.161,36.909
