place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
2518,Musselshell Breaks WSA - Miles City Field Office,MT,8532,Bureau of Land Management,Wilderness Study Area,Northern Great Plains Steppe,16,2210,,FALSE,625,TRUE
900595,Valentine National Wildlife Refuge,NE,71728,U.S. Fish & Wildlife Service,National Wildlife Refuge / Wilderness Study Area,Central Mixed-Grass Prairie,2,2223,245,TRUE,245,TRUE
2690,Necedah Wildlife Management Area,WI,50188,U.S. Fish & Wildlife Service,Conservation Area,Prairie-Forest Border,3,2237,178,TRUE,178,TRUE
5261,Beartown NF Wilderness Area,VA,5610,USDA Forest Service,,Cumberlands And Southern Ridge And Valley,3,2239,246,TRUE,246,TRUE
7324,OSSABAW ISLAND WMA - Ossabaw Island Wildlife Management Area,GA,27439,Georgia Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,4,2258,179,TRUE,179,TRUE
319,Big Bend Ranch State Park,TX,312716,Texas Parks and Wildlife Department,State Park,Chihuahuan Desert,10,2278,,FALSE,742,TRUE
900281,Juniper Creek Game Land Nature Preserve,NC,17784,NC Wildlife Resources Commission,,Mid-Atlantic Coastal Plain,9,2294,,FALSE,688,TRUE
2090,Florida Mountains - Las Cruces District Office,NM,15520,Bureau of Land Management,,Chihuahuan Desert,11,2299,,FALSE,626,TRUE
5237,Loyalsock State Forest - Mcintyre Wild Area,PA,7227,PA Bureau of Forestry,State Forest,High Allegheny Plateau,19,2304,,FALSE,914,TRUE
2433,Irish Wilderness - Mark Twain National Forest,MO,16416,US Forest Service,National Forest,Ozarks,11,2314,,FALSE,499,TRUE
6450,Clinch Mountain Wildlife Management Area,VA,22256,VA Dept of Wildlife Resources,Wildlife Management Area,Cumberlands And Southern Ridge And Valley,4,2319,180,TRUE,180,TRUE
3931,Sproul State Forest - Bucktail State Park Natural Area,PA,13653,PA Bureau of Forestry,State Forest,High Allegheny Plateau,20,2346,,FALSE,997,TRUE
900587,Upper Buffalo Wilderness - Ozark National Forest,AR,10591,US Forest Service,National Forest / Wild and Scenic River,Ozarks,12,2352,,FALSE,818,TRUE
1628,Wild and Scenic Rivers - Scenic - Hiawatha National Forest,MI,12591,US Forest Service,Wild and Scenic River,Great Lakes,11,2357,,FALSE,689,TRUE
2435,Piney Creek Wilderness - Mark Twain National Forest,MO,8115,US Forest Service,National Forest,Ozarks,13,2373,,FALSE,690,TRUE
1625,Mackinac Wilderness - Hiawatha National Forest,MI,10251,US Forest Service,National Forest,Great Lakes,12,2381,,FALSE,944,TRUE
692,Carolina Sandhills National Wildlife Refuge,SC,45801,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mid-Atlantic Coastal Plain,10,2387,181,TRUE,181,TRUE
1495,Great Dismal Swamp National Wildlife Refuge,"NC, VA",27618,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mid-Atlantic Coastal Plain,11,2404,,FALSE,743,TRUE
900352,Mingo National Wildlife Refuge,MO,21426,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mississippi River Alluvial Plain,2,2421,115,TRUE,115,TRUE
3914,Jornada del Muerto WSA - Socorro Field Office,NM,26726,Bureau of Land Management,Wilderness Study Area,Chihuahuan Desert,12,2436,,FALSE,691,TRUE
900138,Crescent Lake National Wildlife Refuge,NE,45828,U.S. Fish & Wildlife Service,National Wildlife Refuge / Wilderness Study Area,Central Mixed-Grass Prairie,3,2451,182,TRUE,182,TRUE
6591,South Dakota Game Fish and Parks - Wildlife Division,SD,2962,South Dakota Game Fish and Parks - Wildlife Division,State Park,Black Hills,5,2480,307,TRUE,307,TRUE
4045,Sabinoso Wilderness - Taos Field Office,NM,17926,Bureau of Land Management,National Public Lands,Southern Shortgrass Prairie,1,2483,55,TRUE,55,TRUE
900377,Newberry State Forest Area,MI,330444,Michigan Department of Natural Resources,State Conservation Area,Great Lakes,13,2499,,FALSE,883,TRUE
6975,Fort Peck Recreation Area - UL Bend NWR,MT,6654,Unknown,,Northern Great Plains Steppe,18,2530,,FALSE,884,TRUE
2346,Lower Suwannee National Wildlife Refuge,FL,43719,U.S. Fish & Wildlife Service,National Wildlife Refuge,East Gulf Coastal Plain,3,2536,247,TRUE,247,TRUE
6119,Bud Love Wildlife Habitat Management Area,WY,7897,State of Wyoming,State Conservation Area,Northern Great Plains Steppe,19,2542,,FALSE,850,TRUE
2848,Big Gum Swamp Wilderness - Osceola National Forest,FL,13835,US Forest Service,National Forest,South Atlantic Coastal Plain,5,2575,,FALSE,372,TRUE
