"rank_top500","rank_top1000","place_id","name","owner","owner_name","designation","acres","eco_id","eco_name","states","facets","veg","footprint","landscape_score","national_rank","ecoregion_rank"
NULL,"844","635","Meadow Valley Range - Caliente Field Office","BLM","Bureau of Land Management","National Public Lands
","111411","17094","Mojave Desert","NV","34","13","0.000","51.12",1633,31
NULL,"845","2660","Salmon-Huckleberry Wilderness - Mt. Hood National Forest","UFS","US Forest Service","National Forest","40905","17049","West Cascades","OR","27","23","0.025","50.94",1701,36
NULL,"846","5348","Middle Mountain Roadless Area (Neola Wildlife Management Area) - Monongahela NF","FED","USDA Forest Service","Inventoried Roadless Area","12121","17006","Central Appalachian Forest","WV","26","21","0.117","50.80",1754,32
NULL,"847","4286","Chinquapin - Trinity National Forest","UFS","US Forest Service","Inventoried Roadless Area","16637","17035","Klamath Mountains","CA","25","21","0.015","50.61",1836,21
NULL,"848","79","Tule Mountain Wilderness Study Area - Applegate Field Office","BLM","Bureau of Land Management","Wilderness Study Area","16006","17031","East Cascades - Modoc Plateau","CA","21","26","0.019","48.92",2596,37
NULL,"849","2738","Whipple Mountains Wilderness - Needles Field Office","BLM","Bureau of Land Management","National Public Lands
","73873","17095","Sonoran Desert","CA","18","10","0.002","48.83",2637,33
NULL,"850","4844","Sierra Diablo Wildlife Management Area","SPR","Texas Parks and Wildlife Department","State Conservation Area","9618","17090","Chihuahuan Desert","TX","30","15","0.026","48.46",2814,14
NULL,"851","5754","Loyalsock State Forest","SNR","PA Bureau of Forestry","State Forest","103308","17010","High Allegheny Plateau","PA","19","19","0.152","48.19",2939,48
NULL,"852","2885","Hurricane Creek Wilderness - Ozark National Forest","UFS","US Forest Service","National Forest","12859","17018","Ozarks","AR","15","8","0.032","47.78",3130,8
NULL,"853","7471","Bear Hollow Mountain Wildlife Management Area","SFW","Tennessee Wildlife Resources Agency","State Conservation Area","6323","17008","Cumberlands And Southern Ridge And Valley","AL, TN","34","7","0.100","47.37",3323,9
NULL,"854","66","Clear Lake - Apalachicola National Forest","UFS","US Forest Service",NULL,"5475","17032","East Gulf Coastal Plain","FL","14","13","0.028","46.95",3498,7
NULL,"855","6585","Baraga State Forest Area","SNR","Michigan Department of Natural Resources","State Conservation Area","25496","17009","Great Lakes","MI","13","22","0.047","46.85",3536,40
NULL,"856","4543","Nine Mile Canyon - Vernal Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","39758","17047","Utah High Plateaus","UT","61","25","0.055","58.29",262,31
NULL,"857","61","Pipestem - Apache National Forest","UFS","US Forest Service","Inventoried Roadless Area","34585","17088","Apache Highlands","AZ","31","23","0.036","58.16",274,30
NULL,"858","1246","Mokelumne Wilderness - Eldorado National Forest","UFS","US Forest Service","National Forest","60318","17043","Sierra Nevada","CA","47","27","0.005","58.15",275,27
NULL,"859","6631","Silver Lake Wilderness","SDC","NYS Department of Environmental Conservation","Nature","109627","17016","Northern Appalachian / Acadian","NY","17","28","0.028","57.33",342,44
NULL,"860","3522","Greenhorn Mountain Wilderness - San Isabel National Forest","UFS","US Forest Service","National Forest","23100","17045","Southern Rocky Mountains","CO","42","28","0.029","56.10",464,35
NULL,"861","762","King Mountain - Challis National Forest","UFS","US Forest Service","Inventoried Roadless Area","87033","17037","Middle Rockies - Blue Mountains","ID","67","29","0.038","55.06",614,31
NULL,"862","682","Scout Mountain - Caribou National Forest","UFS","US Forest Service","Inventoried Roadless Area","24463","17048","Utah-Wyoming Rocky Mountains","ID","50","33","0.038","54.23",755,27
NULL,"863","3107","Labyrinth Canyon - Price Field Office","BLM","Bureau of Land Management","National Public Lands
","54114","17091","Colorado Plateau","UT","34","31","0.030","54.06",794,35
NULL,"864","845","Sampson Mountain Wilderness - Cherokee National Forest","UFS","US Forest Service","National Forest","8003","17021","Southern Blue Ridge","TN","21","8","0.096","53.98",810,26
NULL,"865","7793","Lake Sonoma Wildlife Area","ACE","Army Corps of Engineers","State Conservation Area","8022","17029","California North Coast","CA","28","27","0.112","53.37",946,16
NULL,"866","4174","Mount Stirling - Toiyabe National Forest","UFS","US Forest Service",NULL,"50067","17094","Mojave Desert","NV","35","19","0.002","53.32",959,16
NULL,"867","4010","Kawishiwi Lake To Sawbill - Superior National Forest","UFS","US Forest Service","Inventoried Roadless Area","14778","17023","Superior Mixed Forest","MN","11","19","0.009","52.91",1068,45
NULL,"868","922","Kachina Peaks Wilderness - Coconino National Forest","UFS","US Forest Service","National Forest","17386","17027","Arizona-New Mexico Mountains","AZ","30","29","0.033","52.69",1145,35
"484","869","5132","Camp Creek State Forest","STA","West Virginia Division of Natural Resources - Office of Land and Streams","State Forest","5312","17006","Central Appalachian Forest","WV","43","12","0.107","52.54",1189,17
NULL,"870","2297","Horseshoe Springs - Los Padres National Forest","UFS","US Forest Service","Inventoried Roadless Area","13872","17085","California Central Coast","CA","18","20","0.063","52.52",1190,27
NULL,"871","3958","North Fork - St. Joe National Forest","UFS","US Forest Service","Inventoried Roadless Area","28155","17030","Canadian Rocky Mountains","ID","26","20","0.003","52.51",1194,47
NULL,"872","4630","Sawtooth - Wenatchee National Forest","UFS","US Forest Service",NULL,"5603","17040","Okanagan","WA","18","21","0.016","52.39",1225,18
NULL,"873","80","Wall Canyon Wilderness Study Area - Applegate Field Office","BLM","Bureau of Land Management","Wilderness Study Area","46783","17092","Columbia Plateau","NV","34","30","0.001","52.12",1284,22
"485","874","3870","Siskiyou Wilderness - Six Rivers National Forest","UFS","US Forest Service","National Forest","24777","17035","Klamath Mountains","CA","24","23","0.004","51.89",1346,12
"486","875","7869","M Diamond Ranch","STA","Arizona State Land Department","Local Other","9543","17095","Sonoran Desert","AZ","15","19","0.026","51.79",1378,12
NULL,"876","4396","Boulder Creek Wilderness - Umpqua National Forest","UFS","US Forest Service","National Forest","19917","17049","West Cascades","OR","25","24","0.015","51.70",1415,29
NULL,"877","3292","Devil's Playground-Twin Buttes - Rock Springs Field Office","BLM","Bureau of Land Management","Wilderness Study Area","18223","17097","Wyoming Basins","WY","28","19","0.003","51.38",1544,24
NULL,"878","401","Black Rock Desert - Black Rock Field Office","BLM","Bureau of Land Management","National Public Lands
","314920","17093","Great Basin","NV","54","20","0.002","51.01",1673,74
