"rank_top500","rank_top1000","place_id","name","owner","owner_name","designation","acres","eco_id","eco_name","states","facets","veg","footprint","landscape_score","national_rank","ecoregion_rank"
"1","1","900404","Olympic National Park","NPS","National Park Service","National Park","896742","17041","Pacific Northwest Coast","WA","173","32","0.009","87.89",1,1
"2","2","2621","Glacier Peak Wilderness - Mt. Baker National Forest","UFS","US Forest Service","National Forest","274961","17039","North Cascades","WA","72","33","0.004","85.58",2,1
"3","3","40","Anza-Borrego Desert State Park","SPR","California Department of Parks and Recreation","State Park","608024","17095","Sonoran Desert","CA","106","35","0.025","80.85",4,1
"4","4","900155","Desolation Canyon - Price Field Office","BLM","Bureau of Land Management","National Public Lands
 / Wilderness Study Area","226146","17047","Utah High Plateaus","UT","132","34","0.005","76.05",5,1
"5","5","900221","Grand Canyon National Park","NPS","National Park Service","National Park / Wilderness Study Area","1157563","17091","Colorado Plateau","AZ","101","59","0.006","74.89",6,1
"6","6","900597","Ventana Wilderness - Los Padres National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","209884","17085","California Central Coast","CA","85","27","0.016","74.50",7,1
"7","7","900034","Berryessa Snow Mountain - Mendocino National Forest","UFS","US Forest Service","National Forest","172709","17029","California North Coast","CA","71","36","0.015","73.01",9,1
"8","8","900216","Golden Trout Wilderness - Inyo National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","191653","17043","Sierra Nevada","CA","110","35","0.002","72.73",10,1
"9","9","60","Painted Bluffs - Apache National Forest","UFS","US Forest Service","Inventoried Roadless Area","43056","17088","Apache Highlands","AZ","63","32","0.046","72.33",11,1
"10","10","900115","Clark National Forest - Lewis","UFS","US Forest Service","Inventoried Roadless Area / National Forest","739745","17030","Canadian Rocky Mountains","MT","124","39","0.024","71.93",13,1
"11","11","1499","Great Smoky Mountains National Park","NPS","National Park Service","National Park","519597","17021","Southern Blue Ridge","NC, TN","33","17","0.035","71.27",16,1
"12","12","900242","Guadalupe Mountains National Park","NPS","National Park Service","National Park","87068","17090","Chihuahuan Desert","TX","89","47","0.005","71.07",17,1
"13","13","265","Baxter State Park","SPR","Baxter State Park Authority","State Park","175213","17016","Northern Appalachian / Acadian","ME","42","33","0.002","70.91",18,1
"14","14","1075","Custer State Park","SPR","State Park & Recreation","State Park","70409","17028","Black Hills","SD","45","15","0.095","70.59",21,1
"15","15","4007","Boundary Waters Canoe Area Wilderness - Superior National Forest","UFS","US Forest Service","National Forest","793697","17023","Superior Mixed Forest","MN","48","25","0.002","68.82",25,1
"16","16","5687","Sun River Wildlife Management Area","STA","Montana Fish, Wildlife and Parks","State Conservation Area","12047","17071","Fescue-Mixed Grass Prairie","MT","54","32","0.071","66.11",47,1
"17","17","900154","Desert National Wildlife Range","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge / Wilderness Study Area","1507132","17094","Mojave Desert","NV","58","41","0.023","64.63",61,1
"18","18","900375","Neola Wildlife Management Area - Monongahela NF","FED","USDA Forest Service","National Forest","72677","17006","Central Appalachian Forest","VA, WV","68","22","0.115","64.49",63,1
"19","19","1432","Gila Wilderness - Gila National Forest","UFS","US Forest Service","National Forest","559005","17027","Arizona-New Mexico Mountains","NM","78","36","0.002","64.46",64,1
"20","20","900367","Mount Rainier National Park","NPS","National Park Service","National Park","231488","17049","West Cascades","WA","133","26","0.014","64.41",65,1
"21","21","900095","Cascade-Siskiyou National Monument - Medford Ashland Field Office","BLM","Bureau of Land Management","National Monument","66457","17035","West Cascades","CA, OR","84","43","0.078","64.38",66,1
"22","22","1563","West Elk Wilderness - Gunnison National Forest","UFS","US Forest Service","National Forest","176416","17045","Southern Rocky Mountains","CO","67","34","0.003","64.06",70,1
"23","23","900543","Split Rock Wild Forest","SDC","NYS DEC / NYS Department of Environmental Conservation","State Forest","3067","17022","St. Lawrence - Champlain Valley","NY","25","21","0.055","62.98",80,1
"24","24","900175","Everglades National Park","NPS","National Park Service","National Park","1534165","17101","Tropical Florida","FL","11","20","0.037","62.54",86,1
"25","25","2819","Pasayten Wilderness - Okanogan National Forest","UFS","US Forest Service","National Forest","417972","17040","Okanagan","WA","37","32","0.001","62.35",89,1
"26","26","900166","Eagle Cap Wilderness - Whitman National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","134450","17037","Middle Rockies - Blue Mountains","OR","82","39","0.004","62.21",94,1
"27","27","12","Amistad National Recreation Area","NPS","National Park Service","National Recreation Area","58829","17096","Tamaulipan Thorn Scrub","TX","36","39","0.087","61.28",120,1
"28","28","1150","Dinosaur National Monument","NPS","National Park Service","Wilderness Study Area","172956","17048","Utah-Wyoming Rocky Mountains","CO, UT","85","37","0.003","61.09",125,1
"29","29","900548","Steens Mountain Wilderness - Burns Andrews Field Office","BLM","Bureau of Land Management","National Public Lands
 / Wild and Scenic River","155575","17092","Columbia Plateau","OR","99","39","0.003","60.99",132,1
"30","30","3293","Greater Red Creek ACEC (Currant Creek Watershed) - Rock Springs Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","21170","17097","Wyoming Basins","WY","50","32","0.017","59.28",205,1
"31","31","1234","Sawtooth Mountains Wilderness - El Centro Field Office","BLM","Bureau of Land Management","National Public Lands
","33701","17086","California South Coast","CA","44","26","0.019","59.14",217,1
"32","32","900149","Death Valley National Park","NPS","National Park Service","National Park","3351098","17093","Mojave Desert","CA, NV","60","42","0.003","58.92",234,1
"33","33","900100","Charles M. Russell National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge / Wilderness Study Area","343798","17072","Northern Great Plains Steppe","MT","92","23","0.059","58.30",261,1
"34","34","900455","Red Dirt - Kisatchie National Forest","UFS","US Forest Service","National Wildlife Refuge","40450","17050","West Gulf Coastal Plain","LA","23","17","0.073","58.17",273,1
"35","35","7578","Balsam Lake Mountain Wild Forest","SDC","NYS Department of Environmental Conservation","State Forest","13385","17010","High Allegheny Plateau","NY","16","27","0.050","56.54",404,1
"36","36","900125","Coosa Wildlife Management Area","STA","Alabama Forever Wild Land Trust","State Conservation Area","9598","17019","Piedmont","AL","57","7","0.056","56.29",426,1
"37","37","4616","Chelan - Wenatchee National Forest","UFS","US Forest Service","Inventoried Roadless Area","74534","17031","East Cascades - Modoc Plateau","WA","68","34","0.015","56.28",429,1
"38","38","3669","Channell - Sequoia National Forest","UFS","US Forest Service","Inventoried Roadless Area","45385","17087","Great Central Valley","CA","58","25","0.119","56.23",440,1
"39","39","900186","Fort Niobrara National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","17572","17069","Dakota Mixed-Grass Prairie","NE","23","17","0.108","56.15",454,1
"40","40","5273","Santee Coastal Reserve Wildlife Management Area","SNR","South Carolina Department of Natural Resources","State Conservation Area","25572","17036","Mid-Atlantic Coastal Plain","SC","14","24","0.031","55.20",588,1
"41","41","900272","Isle Royale National Park","NPS","National Park Service","National Park","506039","17009","Great Lakes","MI","30","26","0.001","54.21",763,1
"42","42","4868","JE Canyon Ranch - Lower Purgatoire Conservation Area","NGO","The Nature Conservancy","Private Conservation","19035","17066","Central Shortgrass Prairie","CO","17","26","0.048","53.98",813,1
"43","43","900376","New River Gorge National Park and Preserve","FED","US National Park Service","National Park","70999","17008","Cumberlands And Southern Ridge And Valley","WV","45","21","0.158","53.50",916,1
"44","44","900402","Okefenokee National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","405259","17044","South Atlantic Coastal Plain","FL, GA","16","22","0.005","53.27",977,1
"45","45","6840","State Game Land 087","SFW","PA Game Commission","State Land","17318","17025","Western Allegheny Plateau","PA","32","17","0.100","52.85",1091,1
"46","46","2681","Natchez Trace Parkway","NPS","National Park Service",NULL,"21228","17011","Interior Low Plateau","AL, MS, TN","41","21","0.251","52.66",1153,1
"47","47","5419","San Juan Islands National Monument - Moran","SPR","Washington State Parks and Recreation Commission (SPRC)","National Monument","5609","17051","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","WA","19","16","0.149","52.46",1205,1
"48","48","7054","Roseau River State Wildlife Management Area","SNR","Minnesota Department of Natural Resources","State Conservation Area","66943","17073","Northern Tallgrass Prairie","MN","14","21","0.029","52.41",1220,1
"49","49","900545","St. Marks National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","71241","17032","East Gulf Coastal Plain","FL","25","25","0.080","51.87",1355,1
"50","50","900056","Black River State Forest","SNR","Wisconsin Department of Natural Resources","State Conservation Area","62422","17020","Prairie-Forest Border","WI","13","30","0.123","51.67",1431,1
"51","51","900441","Quabbin Reservoir Watershed","STA","DCR - Division of Water Supply Protection","Water Supply Land","40645","17012","Lower New England / Northern Piedmont","MA","32","39","0.149","51.57",1471,1
"52","52","3719","Bald Knob Wilderness - Shawnee National Forest","UFS","US Forest Service","National Forest","5800","17018","Ozarks","IL","29","7","0.063","51.34",1556,1
"53","53","5977","Assateague Island National Seashore","FED","US National Park Service","National Seashore","6139","17007","Chesapeake Bay Lowlands","MD, VA","5","16","0.014","50.93",1707,1
"54","54","1081","Dale Bumpers White River National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","149285","17013","Mississippi River Alluvial Plain","AR","34","9","0.040","49.63",2270,1
"55","55","900262","Hugo Wildlife Management Area","SDC","Department of Wildlife Conservation","State Conservation Area","12906","17017","Ouachita Mountains","OK","28","21","0.175","49.44",2354,1
"56","56","5114","Cedar Bluff Wildlife Area","SFW","State Fish and Wildlife","State Conservation Area","11336","17065","Central Mixed-Grass Prairie","KS","18","16","0.101","48.41",2847,1
"57","57","6219","City Greenspace","LOC","City of Forest Grove","Local Other","3663","17026","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","OR","15","9","0.137","48.35",2874,1
"58","58","900593","Upper Ouachita National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","53589","17046","Upper West Gulf Coastal Plain","LA","16","20","0.091","47.60",3210,1
"59","59","6164","Sanganois State Fish and Wildlife Area","STA","Other State Land","State Conservation Area","10904","17067","Central Tallgrass Prairie","IL","13","10","0.042","47.18",3412,1
"60","60","4045","Sabinoso - Taos Field Office","BLM","Bureau of Land Management","National Public Lands","17926","17075","Southern Shortgrass Prairie","NM","17","16","0.021","46.33",3733,1
"61","61","2788","Juniper Prairie Wilderness - Ocala National Forest","UFS","US Forest Service","National Forest","14293","17033","Florida Peninsula","FL","8","16","0.060","45.92",3892,1
"62","62","3471","Sam D. Hamilton Noxubee National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","47171","17024","Upper East Gulf Coastal Plain","MS","26","17","0.104","45.69",3979,1
"63","63","6469","Hulah Wildlife Management Area","SDC","Department of Wildlife Conservation","State Conservation Area","19828","17074","Osage Plains/Flint Hills Prairie","KS, OK","20","9","0.159","45.20",4153,1
"64","64","6610","Pass A Loutre Wildlife Management Area","SFW","State Fish and Wildlife","State Conservation Area","115322","17063","Gulf Coast Prairies And Marshes","LA","16","11","0.043","44.99",4220,1
"65","65","7973","Lost Maples State Natural Area","SPR","Texas Parks and Wildlife Department","State Conservation Area","2876","17070","Edwards Plateau","TX","23","5","0.067","44.28",4441,1
"66","66","4964","Flat River State Game Area","SNR","Michigan Department of Natural Resources","State Conservation Area","8614","17015","North Central Tillplain","MI","9","34","0.358","39.32",5513,1
"67","67","1646","Hugo Lake State Park","SPR","Tourism and Recreation Department","State Park","6376","17068","Crosstimbers And Southern Tallgrass Prairie","OK","30","22","0.259","38.83",5583,1
"68","68","900613","Wharton State Forest","STA","New Jersey Department of Environmental Protection","State Forest","11152","17014","North Atlantic Coast","NJ","7","9","0.162","37.49",5810,1
"69","69","2778","North Cascades National Park","NPS","National Park Service","National Park","499355","17039","North Cascades","WA","47","40","0.006","82.65",3,2
"70","70","900209","Glacier National Park","NPS","National Park Service","National Park / Wild and Scenic River / Wilderness Study Area","992628","17030","Canadian Rocky Mountains","MT","166","27","0.003","71.50",15,2
"71","71","2827","Buckhorn Wilderness - Olympic National Forest","UFS","US Forest Service","National Forest","36325","17041","Pacific Northwest Coast","WA","97","25","0.003","70.90",19,2
"72","72","900516","Sequoia National Park","NPS","National Park Service","National Park / Wild and Scenic River","404600","17043","Sierra Nevada","CA","115","28","0.006","70.68",20,2
"73","73","1909","Upper Burro Creek (East) - Kingman Field Office","BLM","Bureau of Land Management","National Public Lands
","18458","17088","Apache Highlands","AZ","61","24","0.010","70.07",22,2
"74","74","1316","Pavant - Fishlake National Forest","UFS","US Forest Service","Inventoried Roadless Area","42517","17047","Utah High Plateaus","UT","87","34","0.012","69.11",23,2
"75","75","900256","High Peaks Wilderness","SDC","NYS DEC / NYS Department of Environmental Conservation","State Forest","275359","17016","Northern Appalachian / Acadian","NY","36","36","0.037","67.94",30,2
"76","76","900490","San Rafael Wilderness - Los Padres National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","185493","17085","California Central Coast","CA","62","23","0.003","67.56",35,2
"77","77","835","Citico Creek Wilderness - Cherokee National Forest","UFS","US Forest Service","National Forest","16209","17021","Southern Blue Ridge","NC, TN","30","11","0.018","66.46",44,2
"78","78","3178","Mt. Ellen-Blue Hills - Richfield Field Office","BLM","Bureau of Land Management","Wilderness Study Area","81405","17091","Colorado Plateau","UT","104","36","0.011","66.36",45,2
"79","79","900036","Berryessa Snow Mountain National Monument - Ukiah Field Office","BLM","Bureau of Land Management",NULL,"94776","17029","Great Central Valley","CA","66","26","0.036","65.66",50,2
"80","80","4552","Voyageurs National Park","NPS","National Park Service","National Park","122355","17023","Superior Mixed Forest","MN","35","24","0.006","63.78",74,2
"81","81","4785","Wind Cave National Park","NPS","National Park Service","National Park","33824","17028","Black Hills","SD","30","12","0.031","63.65",76,2
"82","82","900564","Three Sisters Wilderness - Deschutes National Forest","UFS","US Forest Service","National Forest / Wild and Scenic River","94052","17049","West Cascades","OR","83","33","0.010","62.16",95,2
"83","83","900251","Hells Canyon - Nezperce National Forest","UFS","US Forest Service","National Recreation Area","72832","17037","Middle Rockies - Blue Mountains","ID","86","38","0.013","61.72",104,2
"84","84","900084","Cabeza Prieta National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","853879","17095","Sonoran Desert","AZ","51","19","0.003","61.07",127,2
"85","85","322","Big Cypress National Preserve","NPS","National Park Service","Conservation Area","681487","17101","Tropical Florida","FL","8","22","0.040","60.89",134,2
"86","86","3608","Pecos Wilderness - Santa Fe National Forest","UFS","US Forest Service","National Forest","192120","17045","Southern Rocky Mountains","NM","55","31","0.006","60.71",142,2
"87","87","2810","Lake Chelan-Sawtooth Wilderness - Okanogan National Forest","UFS","US Forest Service","National Forest","96235","17040","Okanagan","WA","32","31","0.006","60.59",146,2
"88","88","900213","Gold Butte Part A - Las Vegas Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","179397","17094","Mojave Desert","NV","68","20","0.007","60.32",155,2
"89","89","1377","Absaroka-Beartooth Wilderness - Gallatin National Forest","UFS","US Forest Service","National Forest","579125","17048","Utah-Wyoming Rocky Mountains","MT, WY","108","28","0.003","60.13",163,2
"90","90","900039","Big Bend National Park","NPS","National Park Service","National Park / Wilderness Study Area","780608","17090","Chihuahuan Desert","TX","53","32","0.004","59.73",179,2
"91","91","1424","Contiguous To Gila Wilderness - Gila National Forest","UFS","US Forest Service","Inventoried Roadless Area","65066","17027","Arizona-New Mexico Mountains","NM","60","36","0.039","59.61",185,2
"92","92","900218","Goshen and Little North Mountain Wildlife Management Area","SFW","VA Dept of Wildlife Resources","Wildlife Management Area","32865","17006","Central Appalachian Forest","VA","62","18","0.140","59.41",197,2
"93","93","3713","Mt. Shasta Wilderness - Shasta National Forest","UFS","US Forest Service","National Forest","35164","17035","Klamath Mountains","CA","76","24","0.013","59.20",213,2
"94","94","2317","Sespe - Frazier - Los Padres National Forest","UFS","US Forest Service","Inventoried Roadless Area","101075","17086","California South Coast","CA","64","23","0.055","58.43",255,2
"95","95","4540","Browns Park - Vernal Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","15883","17097","Wyoming Basins","UT","44","33","0.032","58.05",281,2
"96","96","6629","Wolf Lake State Forest","SDC","NYS Department of Environmental Conservation","State Forest","4366","17022","St. Lawrence - Champlain Valley","NY","20","25","0.134","58.04",282,2
"97","97","558","Pueblo Mountains WSA - Burns Andrews Field Office","BLM","Bureau of Land Management","Wilderness Study Area","69632","17092","Columbia Plateau","NV, OR","80","35","0.004","57.88",296,2
"98","98","1788","Mono Basin - National Scenic, Botanical Area - Inyo National Forest","UFS","US Forest Service","National Forest","39409","17093","Great Basin","CA","59","43","0.035","57.39",335,2
"99","99","6982","Fort Peck Recreation Area","UNK","Unknown","Recreation Area","501136","17072","Northern Great Plains Steppe","MT","78","23","0.058","56.31",424,2
"100","100","6161","Wind Wolves Preserve","NGO","The Wildlands Conservancy","Private Conservation","91635","17087","Great Central Valley","CA","50","28","0.117","56.23",441,2
"101","101","6866","Willowemoc Wild Forest","SDC","NYS Department of Environmental Conservation","Nature","11486","17010","High Allegheny Plateau","NY","17","27","0.066","56.07",468,2
"102","102","4619","Glacier Peak Wilderness - Wenatchee National Forest","UFS","US Forest Service","National Forest","288906","17031","East Cascades - Modoc Plateau","WA","53","35","0.002","55.87",488,2
"103","103","900190","Francis Marion - Francis Marion National Forest","UFS","US Forest Service","National Wildlife Refuge","49607","17036","Mid-Atlantic Coastal Plain","SC","21","19","0.070","54.22",761,2
"104","104","900377","Newberry State Forest Area","SNR","Michigan Department of Natural Resources","State Conservation Area","330444","17009","Great Lakes","MI","29","30","0.025","54.01",806,2
"105","105","3395","Garden Park ACEC - Royal Gorge Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","2700","17066","Central Shortgrass Prairie","CO","25","26","0.098","52.92",1065,2
"106","106","7905","Francis Case Recreation Area","UNK","Unknown","Recreation Area","98652","17069","Dakota Mixed-Grass Prairie","SD","15","20","0.129","52.77",1121,2
"107","107","900015","Angelina National Forest","UFS","US Forest Service","National Forest","144219","17050","West Gulf Coastal Plain","TX","11","23","0.125","52.72",1135,2
"108","108","900037","Beury Mountain Wildlife Management Area","STA","WV Division of Natural Resources","Wildlife Management Area","9263","17008","Cumberlands And Southern Ridge And Valley","WV","33","15","0.079","51.62",1449,2
"109","109","1588","Kevin Rim - Havre Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","3464","17071","Fescue-Mixed Grass Prairie","MT","27","15","0.049","51.48",1502,2
"110","110","2836","Mt. Zion - Olympic National Forest","UFS","US Forest Service","Inventoried Roadless Area","3544","17051","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","WA","17","9","0.033","51.41",1529,2
"111","111","900146","Dale Hollow Recreation Area","UNK","Unknown","Recreation Area","51056","17011","Interior Low Plateau","KY, TN","46","10","0.208","51.31",1569,2
"112","112","7324","OSSABAW ISLAND WMA - Ossabaw Island Wildlife Management Area","SNR","Georgia Department of Natural Resources","State Conservation Area","27439","17044","South Atlantic Coastal Plain","GA","9","21","0.014","50.28",1974,2
"113","113","6071","Chickahominy Wildlife Management Area","SFW","VA Dept of Wildlife Resources","Wildlife Management Area","4657","17007","Chesapeake Bay Lowlands","VA","18","13","0.212","50.04",2074,2
"114","114","7372","White Earth State Forest","SNR","Minnesota Department of Natural Resources","State Resource Management Area","6892","17020","Prairie-Forest Border","MN","7","23","0.059","49.88",2148,2
"115","115","3723","Clear Springs Wilderness - Shawnee National Forest","UFS","US Forest Service","National Forest","4730","17018","Ozarks","IL","24","8","0.063","49.79",2187,2
"116","116","900557","Tate's Hell State Forest","STL","Trustees of the Internal Improvement Trust Fund","State Resource Management Area","202306","17032","East Gulf Coastal Plain","FL","7","29","0.063","49.35",2390,2
"117","117","2864","Caney Creek Wilderness - Ouachita National Forest","UFS","US Forest Service","National Forest","13901","17017","Ouachita Mountains","AR","17","10","0.022","48.77",2656,2
"118","118","7163","State Game Land 311","SFW","PA Game Commission","State Land","3766","17025","Western Allegheny Plateau","PA","17","15","0.067","48.77",2659,2
"119","119","3024","Pillsbury State Park","STA","NH Department of Resources & Economic Development","State Park","4253","17012","Lower New England / Northern Piedmont","NH","16","33","0.098","48.71",2682,2
"120","120","7507","McDonald-Dunn Research Forest","STA","Oregon State University","State Resource Management Area","13643","17026","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","OR","21","12","0.261","47.56",3227,2
"121","121","7871","Thief Lake State Wildlife Management Area","SNR","Minnesota Department of Natural Resources","State Conservation Area","49048","17073","Northern Tallgrass Prairie","MN","7","21","0.073","47.48",3263,2
"122","122","1985","Lacreek National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","16519","17065","Central Mixed-Grass Prairie","SD","16","17","0.118","47.36",3326,2
"123","123","2875","Overflow National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","13106","17013","Mississippi River Alluvial Plain","AR, LA","18","19","0.081","46.06",3840,2
"124","124","4554","Waccasassa Bay Preserve State Park","STL","Trustees of the Internal Improvement Trust Fund","State Conservation Area","34290","17033","Florida Peninsula","FL","7","18","0.070","45.90",3897,2
"125","125","1274","Felsenthal National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","64250","17046","Upper West Gulf Coastal Plain","AR","8","16","0.051","45.85",3919,2
"126","126","1920","Candian River - Kiowa National Grassland","UFS","US Forest Service","Inventoried Roadless Area","6175","17075","Southern Shortgrass Prairie","NM","17","20","0.055","45.78",3940,2
"127","127","6634","BIG LAZER CREEK WMA - Big Lazer Wildlife Management Area and Public Fishing Area","SNR","Georgia Department of Natural Resources","State Conservation Area","5873","17019","Piedmont","GA","20","7","0.050","45.28",4122,2
"128","128","5764","Shanks (Ted) Conservation Area","UNK","Unknown","State Conservation Area","4027","17067","Central Tallgrass Prairie","MO","14","8","0.079","44.59",4346,2
"129","129","2981","Pedernales Falls State Park","SPR","Texas Parks and Wildlife Department","State Park","4009","17070","Edwards Plateau","TX","13","12","0.102","43.00",4768,2
"130","130","1113","Delta National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","50259","17063","Gulf Coast Prairies And Marshes","LA","7","9","0.029","42.57",4878,2
"131","131","2061","Land Between The Lakes - Land Between the Lakes Other","UFS","US Forest Service","National Recreation Area","168344","17024","Upper East Gulf Coastal Plain","KY, TN","23","10","0.103","42.43",4908,2
"132","132","5649","Tuttle Creek Recreation Area","UNK","Unknown","Recreation Area","33531","17074","Osage Plains/Flint Hills Prairie","KS","13","15","0.215","42.16",4980,2
"133","133","6598","Barry State Game Area","SNR","Michigan Department of Natural Resources","State Conservation Area","15589","17015","North Central Tillplain","MI","22","16","0.276","39.22",5527,2
"134","134","7691","Lake Chickasha","LOC","City of Chickasha","Local Recreation Area","5100","17068","Crosstimbers And Southern Tallgrass Prairie","OK","11","15","0.160","37.84",5763,2
"135","135","5749","Peaslee Wildlife Management Area","STA","New Jersey Department of Environmental Protection","Wildlife Management Area","2759","17014","North Atlantic Coast","NJ","10","8","0.202","36.46",5947,2
"136","136","6887","Chaparral Wildlife Management Area","SPR","Texas Parks and Wildlife Department","State Conservation Area","15190","17096","Tamaulipan Thorn Scrub","TX","14","10","0.242","34.48",6189,2
"137","137","2630","Mt. Baker Noisy - Diobsud - Mt. Baker National Forest","UFS","US Forest Service","Inventoried Roadless Area","55118","17039","North Cascades","WA","61","26","0.097","71.96",12,4
"138","138","1785","John Muir Wilderness - Inyo National Forest","UFS","US Forest Service","National Forest","230525","17043","Sierra Nevada","CA","93","31","0.006","67.92",31,4
"139","139","4248","Boulder - Tonto National Forest","UFS","US Forest Service","Inventoried Roadless Area","40344","17088","Apache Highlands","AZ","66","23","0.072","67.90",32,4
"140","140","2539","Desolation Canyon - Moab Field Office","BLM","Bureau of Land Management","Wilderness Study Area","79427","17047","Utah High Plateaus","UT","78","31","0.001","66.84",40,6
"141","141","1617","Henry W. Coe State Park","SPR","California Department of Parks and Recreation","State Park","87063","17085","California Central Coast","CA","46","30","0.032","66.70",43,3
"142","142","3180","Mt. Pennell - Richfield Field Office","BLM","Bureau of Land Management","Wilderness Study Area","76946","17091","Colorado Plateau","UT","87","38","0.003","65.26",57,3
"143","143","417","Blue Ridge Parkway","NPS","National Park Service",NULL,"49150","17021","Southern Blue Ridge","NC","34","20","0.244","62.33",90,6
"144","144","6499","West Canada Lake Wilderness","SDC","NYS Department of Environmental Conservation","State Forest","174316","17016","Northern Appalachian / Acadian","NY","23","31","0.009","62.10",97,5
"145","145","1327","Bmss Ra 1485 - Flathead National Forest","UFS","US Forest Service","Inventoried Roadless Area","308591","17030","Canadian Rocky Mountains","MT","93","28","0.045","61.70",106,4
"146","146","398","Black Elk Wilderness - Black Hills National Forest","UFS","US Forest Service","National Forest","12547","17028","Black Hills","SD","28","12","0.049","61.63",108,3
"147","147","4772","Three Sisters Wilderness - Willamette National Forest","UFS","US Forest Service","National Forest","185313","17049","West Cascades","OR","64","34","0.003","60.92",133,4
"148","148","2497","Elk Creek - Mendocino National Forest","UFS","US Forest Service",NULL,"19463","17029","California North Coast","CA","41","24","0.007","60.55",147,5
"149","149","3576","Weminuche Wilderness - San Juan National Forest","UFS","US Forest Service","National Forest","328624","17045","Southern Rocky Mountains","CO","46","33","0.007","60.00",168,3
"150","150","2840","The Brothers Wilderness - Olympic National Forest","UFS","US Forest Service","National Forest","16152","17041","Pacific Northwest Coast","WA","29","26","0.005","59.54",190,3
"151","151","5817","Shenandoah National Park","FED","US National Park Service","National Park","113591","17006","Central Appalachian Forest","VA","55","18","0.106","59.11",219,3
"152","152","3700","Sevilleta National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","227456","17027","Arizona-New Mexico Mountains","NM","19","53","0.046","58.72",242,4
"153","153","328","Bighorn Canyon National Recreation Area","NPS","National Park Service","National Recreation Area","42220","17097","Wyoming Basins","MT, WY","43","37","0.064","57.88",295,5
"154","154","475","Bridger Wilderness - Bridger National Forest","UFS","US Forest Service","National Forest","423690","17048","Utah-Wyoming Rocky Mountains","WY","95","25","0.003","57.77",310,9
"155","155","2316","Sawmill - Badlands - Los Padres National Forest","UFS","US Forest Service","Inventoried Roadless Area","45618","17086","California South Coast","CA","58","21","0.038","57.38",337,4
"156","156","2747","Gospel-Hump Wilderness - Nezperce National Forest","UFS","US Forest Service","National Forest","195793","17037","Middle Rockies - Blue Mountains","ID","74","28","0.002","57.33",341,11
"157","157","4036","Tamarac National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","41052","17023","Superior Mixed Forest","MN","20","26","0.059","56.92",371,9
"158","158","2027","Lake Roosevelt National Recreation Area","NPS","National Park Service","National Recreation Area","58818","17040","Okanagan","WA","69","23","0.141","56.60",399,7
"159","159","1694","Jarbidge Wilderness - Humboldt National Forest","UFS","US Forest Service","National Forest","105742","17092","Columbia Plateau","NV","78","30","0.006","56.00",476,5
"160","160","2847","Organ Pipe Cactus Wilderness","NPS","National Park Service",NULL,"307738","17095","Sonoran Desert","AZ","32","18","0.008","56.00",477,5
"161","161","4146","Georges Canyon - Toiyabe National Forest","UFS","US Forest Service","Inventoried Roadless Area","108317","17093","Great Basin","NV","75","29","0.003","55.96",480,5
"162","162","6361","Tiadaghton State Forest","SNR","PA Bureau of Forestry","State Forest","129704","17010","High Allegheny Plateau","PA","32","24","0.152","55.93",485,3
"163","163","3201","Mohave Ground Squirrel - Ridgecrest Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","157082","17094","Mojave Desert","CA","41","31","0.073","54.85",638,7
