place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
3151,Quivira National Wildlife Refuge,KS,22163,U.S. Fish & Wildlife Service,National Wildlife Refuge,Central Mixed-Grass Prairie,10,4927,256,TRUE,256,TRUE
3734,Sheyenne - Sheyenne National Grassland,ND,14415,US Forest Service,Inventoried Roadless Area,Northern Tallgrass Prairie,13,5035,257,TRUE,257,TRUE
8038,Sulphur River,AR,18094,State Fish and Wildlife,State Conservation Area,Upper West Gulf Coastal Plain,10,5163,258,TRUE,258,TRUE
5742,Boeuf Wildlife Management Area,LA,48553,State Fish and Wildlife,State Conservation Area,Mississippi River Alluvial Plain,13,5167,259,TRUE,259,TRUE
3405,Sabine National Wildlife Refuge,LA,123071,U.S. Fish & Wildlife Service,National Wildlife Refuge,Gulf Coast Prairies And Marshes,8,5322,260,TRUE,260,TRUE
3722,Burke Branch - Shawnee National Forest,IL,6192,US Forest Service,Inventoried Roadless Area,Upper East Gulf Coastal Plain,7,5447,261,TRUE,261,TRUE
3358,LESSER PRAIRIE CHICKEN HABITAT PRESERVATION ACEC - Roswell Field Office,NM,48988,Bureau of Land Management,Area of Critical Environmental Concern,Southern Shortgrass Prairie,11,5446,262,TRUE,262,TRUE
197,Balcones Canyonlands National Wildlife Refuge,TX,14164,U.S. Fish & Wildlife Service,National Wildlife Refuge,Edwards Plateau,9,5727,263,TRUE,263,TRUE
7188,Red Rock Wildlife Management Area,IA,27389,Army Corps of Engineers,State Conservation Area,Central Tallgrass Prairie,15,5750,264,TRUE,264,TRUE
2801,REDLANDS WMA - Oconee National Forest,GA,22444,US Forest Service,National Forest,Piedmont,14,5865,265,TRUE,265,TRUE
5689,Milford Recreation Area,KS,45289,Unknown,Recreation Area,Osage Plains/Flint Hills Prairie,18,5925,266,TRUE,266,TRUE
5410,Killdeer Plains Wildlife Area,OH,8456,Ohio Department of Natural Resources,State Conservation Area,North Central Tillplain,11,6200,267,TRUE,267,TRUE
4881,Miller Peninsula,WA,2893,Washington State Parks and Recreation Commission (SPRC),State Park,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,4,6199,268,TRUE,268,TRUE
8011,Myles Standish State Forest,MA,4448,DCR - Division of State Parks and Recreation,State Forest,North Atlantic Coast,12,6235,269,TRUE,269,TRUE
7398,Cooper Recreation Area,TX,32037,Unknown,Recreation Management Area,Crosstimbers And Southern Tallgrass Prairie,18,6411,270,TRUE,270,TRUE
63,Sunset - Apache National Forest,AZ,28925,US Forest Service,Inventoried Roadless Area,Apache Highlands,3,25,271,TRUE,271,TRUE
4151,Hoover Wilderness - Toiyabe National Forest,CA,96860,US Forest Service,National Forest,Sierra Nevada,8,51,272,TRUE,272,TRUE
1155,Boulder Mtn. / Boulder Top / Deer Lake - Dixie National Forest,UT,108311,US Forest Service,Inventoried Roadless Area,Utah High Plateaus,9,55,273,TRUE,273,TRUE
2619,Glacier Peak J - Mt. Baker National Forest,WA,16180,US Forest Service,Inventoried Roadless Area,North Cascades,14,68,274,TRUE,274,TRUE
6443,Siamese Ponds Wilderness,NY,114090,NYS Department of Environmental Conservation,State Forest,Northern Appalachian / Acadian,13,148,275,TRUE,275,TRUE
1453,Glen Canyon National Recreation Area,"AZ, UT",1233824,National Park Service,National Recreation Area,Colorado Plateau,9,162,276,TRUE,276,TRUE
3586,Trickle Mountain - San Luis Valley Field Office,CO,38812,Bureau of Land Management,Area of Critical Environmental Concern,Southern Rocky Mountains,4,175,277,TRUE,277,TRUE
2320,Silver Peak Wilderness - Los Padres National Forest,CA,31232,US Forest Service,National Forest,California Central Coast,7,188,278,TRUE,278,TRUE
1406,Mount St. Helens - Gifford Pinchot National Forest,WA,111476,US Forest Service,National Forest,West Cascades,7,288,279,TRUE,279,TRUE
1419,Aldo Leopold Wilderness - Gila National Forest,NM,203524,US Forest Service,National Forest,Arizona-New Mexico Mountains,9,326,280,TRUE,280,TRUE
4060,Palisades - Targhee National Forest,"ID, WY",153329,US Forest Service,Wilderness Study Area,Utah-Wyoming Rocky Mountains,10,334,281,TRUE,281,TRUE
2082,Brokeoff Mountains - Las Cruces District Office,"NM, TX",31091,Bureau of Land Management,Wilderness Study Area,Chihuahuan Desert,3,376,282,TRUE,282,TRUE
1260,Fakahatchee Strand Preserve State Park,FL,76840,Trustees of the Internal Improvement Trust Fund,State Conservation Area,Tropical Florida,3,417,283,TRUE,283,TRUE
805,Mark Trail Wilderness - Chattahoochee National Forest,GA,16611,US Forest Service,National Forest,Southern Blue Ridge,15,452,284,TRUE,284,TRUE
3441,Lemhi Range - Salmon National Forest,ID,166790,US Forest Service,Inventoried Roadless Area,Middle Rockies - Blue Mountains,20,474,285,TRUE,285,TRUE
627,Clover Mountains - Caliente Field Office,NV,85610,Bureau of Land Management,"National Public Lands
",Great Basin,6,500,286,TRUE,286,TRUE
4306,Yolla Bolly-Middle Eel Wilderness - Trinity National Forest,CA,36629,US Forest Service,National Forest,California North Coast,10,516,287,TRUE,287,TRUE
2834,Mount Skokomish Wilderness - Olympic National Forest,WA,12428,US Forest Service,National Forest,Pacific Northwest Coast,7,534,288,TRUE,288,TRUE
887,Mallard-Larkins - Clearwater National Forest,ID,109573,US Forest Service,Inventoried Roadless Area,Canadian Rocky Mountains,13,573,289,TRUE,289,TRUE
2643,Badger Creek Wilderness - Mt. Hood National Forest,OR,16945,US Forest Service,National Forest,East Cascades - Modoc Plateau,3,636,290,TRUE,290,TRUE
639,Mormon Mountains - Caliente Field Office,NV,111517,Bureau of Land Management,"National Public Lands
",Mojave Desert,10,698,291,TRUE,291,TRUE
1897,Arrastra Mountain - Kingman Field Office,AZ,124288,Bureau of Land Management,"National Public Lands
",Sonoran Desert,7,783,292,TRUE,292,TRUE
17,Fish Canyon - Angeles National Forest,CA,29884,US Forest Service,Inventoried Roadless Area,California South Coast,9,794,293,TRUE,293,TRUE
1941,Siskiyou Wilderness - Klamath National Forest,CA,70719,US Forest Service,National Forest,Klamath Mountains,8,850,294,TRUE,294,TRUE
4937,Red Lake State Forest,MN,66053,Minnesota Department of Natural Resources,State Resource Management Area,Superior Mixed Forest,31,855,295,TRUE,295,TRUE
7099,Elk State Forest,PA,173529,PA Bureau of Forestry,State Forest,High Allegheny Plateau,7,867,296,TRUE,296,TRUE
3307,Steamboat Mountain ACEC - Rock Springs Field Office,WY,47134,Bureau of Land Management,Area of Critical Environmental Concern,Wyoming Basins,14,909,297,TRUE,297,TRUE
4031,Tahquamenon Falls State Park,MI,45424,Michigan Department of Natural Resources,State Park,Great Lakes,4,1024,298,TRUE,298,TRUE
2230,Little Pend Oreille National Wildlife Refuge,WA,38094,U.S. Fish & Wildlife Service,National Wildlife Refuge,Okanagan,16,1101,299,TRUE,299,TRUE
560,Rincon WSA - Burns Andrews Field Office,OR,104141,Bureau of Land Management,Wilderness Study Area,Columbia Plateau,20,1228,300,TRUE,300,TRUE
7098,Sproul State Forest,PA,282513,PA Bureau of Forestry,State Forest,Central Appalachian Forest,19,1230,301,TRUE,301,TRUE
3670,Chico - Sequoia National Forest,CA,38157,US Forest Service,Inventoried Roadless Area,Great Central Valley,6,1293,302,TRUE,302,TRUE
1921,Catahoula - Kisatchie National Forest,LA,37628,US Forest Service,National Wildlife Refuge,West Gulf Coastal Plain,4,1810,303,TRUE,303,TRUE
2521,Seven Blackfoot - Miles City Field Office,MT,20714,Bureau of Land Management,Wilderness Study Area,Northern Great Plains Steppe,9,2667,304,TRUE,304,TRUE
6210,Big South Fork N.R.R.A. - Big South Fork National River and Recreation Area,"KY, TN",69512,National Park Service & National Park Service,,Cumberlands And Southern Ridge And Valley,8,3045,305,TRUE,305,TRUE
397,Beaver Park - Black Hills National Forest,SD,5001,US Forest Service,Inventoried Roadless Area,Black Hills,6,3056,306,TRUE,306,TRUE
2426,Maplewood State Park,MN,8069,Minnesota Department of Natural Resources,State Park,Prairie-Forest Border,7,3204,307,TRUE,307,TRUE
541,Buffalo National River,AR,53140,National Park Service,,Ozarks,12,3277,308,TRUE,308,TRUE
7901,Cardigan Mountain State Forest,NH,5943,NH Department of Resources & Economic Development,State Forest,Lower New England / Northern Piedmont,3,3419,309,TRUE,309,TRUE
2848,Big Gum Swamp Wilderness - Osceola National Forest,FL,13835,US Forest Service,National Forest,South Atlantic Coastal Plain,8,3768,310,TRUE,310,TRUE
2346,Lower Suwannee National Wildlife Refuge,FL,43719,U.S. Fish & Wildlife Service,National Wildlife Refuge,East Gulf Coastal Plain,11,3788,311,TRUE,311,TRUE
2441,Mattamuskeet National Wildlife Refuge,NC,48835,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mid-Atlantic Coastal Plain,15,3995,312,TRUE,312,TRUE
5608,Millwood Recreation Area,AR,36763,Unknown,Recreation Area,Upper West Gulf Coastal Plain,3,4299,313,TRUE,313,TRUE
2873,Winding Stair Mountain - Ouachita National Forest,OK,26617,US Forest Service,National Recreation Area,Ouachita Mountains,15,4446,314,TRUE,314,TRUE
5130,Burnsville Lake Wildlife Management Area,WV,13268,Army Corps of Engineers,Wildlife Management Area,Western Allegheny Plateau,11,4670,315,TRUE,315,TRUE
5325,Beaver River Wildlife Management Area,OK,18741,Department of Wildlife Conservation,State Conservation Area,Central Shortgrass Prairie,11,4719,316,TRUE,316,TRUE
6151,Mockhorn Wildlife Management Area,VA,7341,VA Dept of Wildlife Resources,Wildlife Management Area,Chesapeake Bay Lowlands,12,4925,317,TRUE,317,TRUE
7990,Kerr Wildlife Management Area,TX,6514,Texas Parks and Wildlife Department,State Conservation Area,Edwards Plateau,6,4998,318,TRUE,318,TRUE
853,Chickasaw National Wildlife Refuge,TN,16636,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mississippi River Alluvial Plain,7,5001,319,TRUE,319,TRUE
6386,Cumberland Recreation Area,KY,86144,Unknown,Recreation Area,Interior Low Plateau,17,5061,320,TRUE,320,TRUE
5071,Kanopolis Recreation Area,KS,19639,Unknown,Recreation Area,Central Mixed-Grass Prairie,13,5156,321,TRUE,321,TRUE
2023,Lake Meredith National Recreation Area,TX,40797,National Park Service,National Recreation Area,Southern Shortgrass Prairie,7,5174,322,TRUE,322,TRUE
3733,Mcleod - Sheyenne National Grassland,ND,9088,US Forest Service,Inventoried Roadless Area,Northern Tallgrass Prairie,18,5330,323,TRUE,323,TRUE
5624,Three Lakes Wildlife Management Area,FL,63521,Trustees of the Internal Improvement Trust Fund,State Conservation Area,Florida Peninsula,19,5333,324,TRUE,324,TRUE
6024,Perch River Wma,NY,7124,NYS Department of Environmental Conservation,Wildlife Management Area,St. Lawrence - Champlain Valley,10,5415,325,TRUE,325,TRUE
4830,Union Ridge Conservation Area,MO,8208,Unknown,State Conservation Area,Central Tallgrass Prairie,7,5425,326,TRUE,326,TRUE
8028,South Mountains Game Land Dedicated Nature Preserve - South Mountains Game Land,NC,18177,NC Wildlife Resources Commission,,Piedmont,6,5528,327,TRUE,327,TRUE
3589,Sand Lake National Wildlife Refuge,SD,19485,U.S. Fish & Wildlife Service,National Wildlife Refuge,Dakota Mixed-Grass Prairie,13,5555,328,TRUE,328,TRUE
1343,Flint Hills National Wildlife Refuge,KS,18552,U.S. Fish & Wildlife Service,National Wildlife Refuge,Osage Plains/Flint Hills Prairie,17,5884,329,TRUE,329,TRUE
6490,Rogue River State Game Area,MI,5719,Michigan Department of Natural Resources,State Conservation Area,North Central Tillplain,7,6040,330,TRUE,330,TRUE
5264,Meeman-Shelby Forest Wildlife Management Area,TN,9433,Tennessee Department of Environment and Conservation (TDEC),State Conservation Area,Upper East Gulf Coastal Plain,24,6064,331,TRUE,331,TRUE
1987,Laguna Atascosa National Wildlife Refuge,TX,12546,U.S. Fish & Wildlife Service,National Wildlife Refuge,Gulf Coast Prairies And Marshes,17,6144,332,TRUE,332,TRUE
5695,Makepeace Lake Wildlife Management Area,NJ,2525,New Jersey Department of Environmental Protection,Wildlife Management Area,North Atlantic Coast,11,6204,333,TRUE,333,TRUE
5285,Lake Murray State Resort Park,OK,18365,Tourism and Recreation Department,State Park,Crosstimbers And Southern Tallgrass Prairie,15,6327,334,TRUE,334,TRUE
7007,Fern Ridge Wildlife Area,OR,3038,Unknown,State Conservation Area,Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests,6,6660,335,TRUE,335,TRUE
6449,Skagit-Snoqualmie Wildlife Area Complex,WA,2498,Washington State Department of Fish & Wildlife (WDFW),State Conservation Area,Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests,6,6907,336,TRUE,336,TRUE
2540,Floy Canyon - Moab Field Office,UT,72122,Bureau of Land Management,Wilderness Study Area,Utah High Plateaus,7,45,337,TRUE,337,TRUE
5603,Morning Star Natural Resources Conservation Area,WA,32746,Washington State Department of Natural Resources (WADNR),State Conservation Area,North Cascades,10,48,338,TRUE,338,TRUE
2674,Joyce Kilmer-Slickrock Wilderness - Nantahala National Forest,"NC, TN",13581,US Forest Service,National Forest,Southern Blue Ridge,6,114,339,TRUE,339,TRUE
3800,Ansel Adams Wilderness - Sierra National Forest,CA,152080,US Forest Service,National Forest,Sierra Nevada,19,134,340,TRUE,340,TRUE
5721,Moose River Plains Wild Forest,NY,67022,NYS Department of Environmental Conservation,Nature,Northern Appalachian / Acadian,14,152,341,TRUE,341,TRUE
1001,Chiricahua Wilderness - Coronado National Forest,AZ,86640,US Forest Service,National Forest,Apache Highlands,18,167,,FALSE,342,TRUE
1837,Saddle Mountain Wilderness - Kaibab National Forest,AZ,40806,US Forest Service,National Forest,Colorado Plateau,10,171,342,TRUE,343,TRUE
2292,Dick Smith Wilderness - Los Padres National Forest,CA,70985,US Forest Service,National Forest,California Central Coast,8,235,343,TRUE,344,TRUE
4666,Eagles Nest Wilderness - White River National Forest,CO,135080,US Forest Service,National Forest,Southern Rocky Mountains,11,272,344,TRUE,345,TRUE
4250,Four Peaks Wilderness - Tonto National Forest,AZ,57580,US Forest Service,National Forest,Sonoran Desert,3,296,345,TRUE,346,TRUE
1401,Goat Rocks Wilderness - Gifford Pinchot National Forest,WA,66713,US Forest Service,National Forest,West Cascades,8,333,346,TRUE,347,TRUE
