"place_id","name","owner","eco_id","eco_name","states","acres","facets","veg","footprint","gap_min","gap_max","national_rank","ecoregion_rank","score_veg","score_facet_pct_eco","score_evt_pct_eco","score_intact","score_mgmt","score_desig","landscape_score","selection_score","landform_diff_min","veg_diff_min","combined_diff_50_50","complementarity_acres","quality_cutoff_rank","candidate_pool_size","weight_complementarity","weight_facets","weight_veg","weight_intact","weight_facet_pct_eco","weight_evt_pct_eco","weight_mgmt","weight_desig","run_id","run_ts","run_label","rank_top1000"
"5216","Otter Creek Wilderness","FED",17006,"Central Appalachian Forest","WV","20001","19","17","0.013",1,1,"761","9","27.6","21.3","23.8","98.2",100,25,"56.64","57.18","4.8","0.5","2.7","2.7",47,233,"0.20","5","5","30","20","20","15","5","682","2026-03-24 16:55:39.192561","iterative_landform_veg_top_pct_floor_v2","808"
"3465","Laketown Canyon ACEC - Salt Lake  Field Office","BLM",17097,"Wyoming Basins","UT","8318","46","27","0.069",2,2,"774","11","44.8","19.4","36.3","90.5",90,25,"56.59","59.17","10.4","15.4","12.9","12.9",20,97,"0.20","5","5","30","20","20","15","5","692","2026-03-24 16:56:22.245868","iterative_landform_veg_top_pct_floor_v2","809"
"1723","Santa Rosa-Paradise Peak Wilderness - Humboldt National Forest","UFS",17092,"Columbia Plateau","NV","32064","35","30","0.009",1,1,"816","14","50.0","8.9","26.1","98.8",100,25,"56.38","59.16","8.9","18.8","13.9","13.9",63,311,"0.20","5","5","30","20","20","15","5","729","2026-03-24 16:59:01.215959","iterative_landform_veg_top_pct_floor_v2","810"
"900341","Mallard-Larkins IRA - St. Joe National Forest","UFS",17030,"Canadian Rocky Mountains","ID","107021","36","23","0.001",2,2,"836","15","37.9","11.4","38.2","99.9",90,0,"56.30","57.12","5.7","2.4","4.1","4.1",39,192,"0.20","5","5","30","20","20","15","5","684","2026-03-24 16:55:48.05942","iterative_landform_veg_top_pct_floor_v2","811"
"4618","Entiat IRA - Wenatchee National Forest","UFS",17031,"East Cascades - Modoc Plateau","WA","72615","55","32","0.011",2,2,"901","10","53.4","14.7","29.1","98.5",90,0,"56.05","57.47","7.5","6.6","7.1","7.1",23,113,"0.20","5","5","30","20","20","15","5","695","2026-03-24 16:56:35.033286","iterative_landform_veg_top_pct_floor_v2","812"
"826","Rainbow Lake Wilderness - Chequamegon National Forest","UFS",17023,"Superior Mixed Forest","WI","7135","10","18","0.021",1,1,"974","12","29.3","11.9","31.3","97.1",100,25,"55.75","56.53","5.8","2.0","3.9","3.9",39,192,"0.20","5","5","30","20","20","15","5","677","2026-03-24 16:55:17.361512","iterative_landform_veg_top_pct_floor_v2","813"
"3704","Castle Crags Wilderness - Shasta National Forest","UFS",17035,"Klamath Mountains","CA","10521","26","22","0.016",1,1,"995","14","36.2","11.6","26.1","97.8",100,25,"55.67","56.81","6.8","4.6","5.7","5.7",23,113,"0.20","5","5","30","20","20","15","5","727","2026-03-24 16:58:52.660618","iterative_landform_veg_top_pct_floor_v2","814"
"900357","Mojave Trails National Monument - Needles Field Office","BLM",17094,"Mojave Desert","CA","374920","19","14","0.024",1,2,"1212","35","22.4","13.5","13.2","96.7",100,75,"54.75","59.87","3.6","47.5","25.6","25.6",36,176,"0.20","5","5","30","20","20","15","5","671","2026-03-24 16:54:49.683731","iterative_landform_veg_top_pct_floor_v2","815"
"6866","Willowemoc Wild Forest","SDC",17010,"High Allegheny Plateau","NY","11486","17","27","0.066",3,3,"1705","15","44.8","25.3","42.7","90.9",65,0,"53.33","54.27","8.9","0.5","4.7","4.7",33,163,"0.20","5","5","30","20","20","15","5","713","2026-03-24 16:57:52.441447","iterative_landform_veg_top_pct_floor_v2","816"
"4965","Fort Peck Recreation Area - Charles M. Russell NWR","UNK",17072,"Northern Great Plains Steppe","MT","11148","36","16","0.040",1,1,"2128","14","25.9","16.6","17.2","94.5",100,0,"52.42","55.60","13.9","17.8","15.9","15.9",27,133,"0.20","5","5","30","20","20","15","5","674","2026-03-24 16:55:03.724221","iterative_landform_veg_top_pct_floor_v2","817"
